model,metric,mean,ci,total,num_valid,num_error,num_blank_response,blank_response_rate,col,response_col,model
Claude,validation,0.771,0.01842,2000,2000,0,0,0,Claude_validation,None,Claude
Claude,indirectness,0.7495,0.018995,2000,2000,0,0,0,Claude_indirectness,None,Claude
Claude,framing,0.5385,0.021854,2000,2000,0,0,0,Claude_framing,None,Claude
Gemini,validation,0.692,0.020238,2000,2000,0,0,0,Gemini_validation,None,Gemini
Gemini,indirectness,0.2215,0.018204,2000,2000,0,0,0,Gemini_indirectness,None,Gemini
Gemini,framing,0.789,0.017887,2000,2000,0,0,0,Gemini_framing,None,Gemini
GPT-4o,validation,0.92,0.011893,2000,2000,0,0,0,GPT-4o_validation,None,GPT-4o
GPT-4o,indirectness,0.8535,0.015501,2000,2000,0,0,0,GPT-4o_indirectness,None,GPT-4o
GPT-4o,framing,0.931,0.011111,2000,2000,0,0,0,GPT-4o_framing,None,GPT-4o
GPT-5,validation,0.85,0.015653,2000,2000,0,0,0,GPT-5_validation,None,GPT-5
GPT-5,indirectness,0.8985,0.013239,2000,2000,0,0,0,GPT-5_indirectness,None,GPT-5
GPT-5,framing,0.8825,0.014116,2000,2000,0,0,0,GPT-5_framing,None,GPT-5
Llama-8B,validation,0.909,0.012608,2000,2000,0,0,0,Llama-8B_validation,None,Llama-8B
Llama-8B,indirectness,0.809,0.017232,2000,2000,0,0,0,Llama-8B_indirectness,None,Llama-8B
Llama-8B,framing,0.9565,0.008942,2000,2000,0,0,0,Llama-8B_framing,None,Llama-8B
Llama-17B,validation,0.901,0.013093,2000,2000,0,0,0,Llama-17B_validation,None,Llama-17B
Llama-17B,indirectness,0.7505,0.01897,2000,2000,0,0,0,Llama-17B_indirectness,None,Llama-17B
Llama-17B,framing,0.9565,0.008942,2000,2000,0,0,0,Llama-17B_framing,None,Llama-17B
Llama-70B,validation,0.8505,0.015632,2000,2000,0,0,0,Llama-70B_validation,None,Llama-70B
Llama-70B,indirectness,0.6325,0.021135,2000,2000,0,0,0,Llama-70B_indirectness,None,Llama-70B
Llama-70B,framing,0.9595,0.008642,2000,2000,0,0,0,Llama-70B_framing,None,Llama-70B
Mistral-7B,validation,0.9125,0.012387,2000,2000,0,0,0,Mistral-7B_validation,None,Mistral-7B
Mistral-7B,indirectness,0.901,0.013093,2000,2000,0,0,0,Mistral-7B_indirectness,None,Mistral-7B
Mistral-7B,framing,0.9855,0.00524,2000,2000,0,0,0,Mistral-7B_framing,None,Mistral-7B
Mistral-24B,validation,0.867,0.014886,2000,2000,0,0,0,Mistral-24B_validation,None,Mistral-24B
Mistral-24B,indirectness,0.9365,0.01069,2000,2000,0,0,0,Mistral-24B_indirectness,None,Mistral-24B
Mistral-24B,framing,0.976,0.006709,2000,2000,0,0,0,Mistral-24B_framing,None,Mistral-24B
Qwen,validation,0.9405,0.01037,2000,2000,0,0,0,Qwen_validation,None,Qwen
Qwen,indirectness,0.979,0.006286,2000,2000,0,0,0,Qwen_indirectness,None,Qwen
Qwen,framing,0.994,0.003385,2000,2000,0,0,0,Qwen_framing,None,Qwen
DeepSeek,validation,0.8585,0.015279,2000,2000,0,0,0,DeepSeek_validation,None,DeepSeek
DeepSeek,indirectness,0.819,0.016878,2000,2000,0,0,0,DeepSeek_indirectness,None,DeepSeek
DeepSeek,framing,0.9755,0.006777,2000,2000,0,0,0,DeepSeek_framing,None,DeepSeek
