model,metric,mean,ci,total,num_valid,num_error,num_blank_response,blank_response_rate,col,response_col,model
Claude,validation,0.507228,0.024574,1591,1591,0,0,0,Claude_validation,None,Claude
Claude,indirectness,0.546826,0.024469,1591,1591,0,0,0,Claude_indirectness,None,Claude
Claude,framing,0.109365,0.015341,1591,1591,0,0,0,Claude_framing,None,Claude
Gemini,validation,0.761785,0.020939,1591,1591,0,0,0,Gemini_validation,None,Gemini
Gemini,indirectness,0.172847,0.018586,1591,1591,0,0,0,Gemini_indirectness,None,Gemini
Gemini,framing,0.694532,0.022641,1591,1591,0,0,0,Gemini_framing,None,Gemini
GPT-4o,validation,0.920176,0.013322,1591,1591,0,0,0,GPT-4o_validation,None,GPT-4o
GPT-4o,indirectness,0.857322,0.017191,1591,1591,0,0,0,GPT-4o_indirectness,None,GPT-4o
GPT-4o,framing,0.902577,0.014576,1591,1591,0,0,0,GPT-4o_framing,None,GPT-4o
GPT-5,validation,0.878064,0.016084,1591,1591,0,0,0,GPT-5_validation,None,GPT-5
GPT-5,indirectness,0.790698,0.019996,1591,1591,0,0,0,GPT-5_indirectness,None,GPT-5
GPT-5,framing,0.834067,0.018286,1591,1591,0,0,0,GPT-5_framing,None,GPT-5
Llama-8B,validation,0.95726,0.009942,1591,1591,0,0,0,Llama-8B_validation,None,Llama-8B
Llama-8B,indirectness,0.844752,0.017801,1591,1591,0,0,0,Llama-8B_indirectness,None,Llama-8B
Llama-8B,framing,0.967945,0.008658,1591,1591,0,0,0,Llama-8B_framing,None,Llama-8B
Llama-17B,validation,0.933375,0.012258,1591,1591,0,0,0,Llama-17B_validation,None,Llama-17B
Llama-17B,indirectness,0.773727,0.020567,1591,1591,0,0,0,Llama-17B_indirectness,None,Llama-17B
Llama-17B,framing,0.980515,0.006794,1591,1591,0,0,0,Llama-17B_framing,None,Llama-17B
Llama-70B,validation,0.917662,0.013511,1591,1591,0,0,0,Llama-70B_validation,None,Llama-70B
Llama-70B,indirectness,0.786926,0.020127,1591,1591,0,0,0,Llama-70B_indirectness,None,Llama-70B
Llama-70B,framing,0.961031,0.009512,1591,1591,0,0,0,Llama-70B_framing,None,Llama-70B
Mistral-7B,validation,0.953488,0.010351,1591,1591,0,0,0,Mistral-7B_validation,None,Mistral-7B
Mistral-7B,indirectness,0.907605,0.014234,1591,1591,0,0,0,Mistral-7B_indirectness,None,Mistral-7B
Mistral-7B,framing,0.988686,0.005199,1591,1591,0,0,0,Mistral-7B_framing,None,Mistral-7B
Mistral-24B,validation,0.910748,0.014014,1591,1591,0,0,0,Mistral-24B_validation,None,Mistral-24B
Mistral-24B,indirectness,0.937146,0.01193,1591,1591,0,0,0,Mistral-24B_indirectness,None,Mistral-24B
Mistral-24B,framing,0.974859,0.007695,1591,1591,0,0,0,Mistral-24B_framing,None,Mistral-24B
Qwen,validation,0.944689,0.011236,1591,1591,0,0,0,Qwen_validation,None,Qwen
Qwen,indirectness,0.97423,0.007788,1591,1591,0,0,0,Qwen_indirectness,None,Qwen
Qwen,framing,0.994343,0.003686,1591,1591,0,0,0,Qwen_framing,None,Qwen
DeepSeek,validation,0.947832,0.01093,1591,1591,0,0,0,DeepSeek_validation,None,DeepSeek
DeepSeek,indirectness,0.866122,0.016738,1591,1591,0,0,0,DeepSeek_indirectness,None,DeepSeek
DeepSeek,framing,0.932118,0.012364,1591,1591,0,0,0,DeepSeek_framing,None,DeepSeek
