model,metric,mean,ci,col,model
Claude,validation,0.834662,0.011873,validation_Claude,Claude
Claude,indirectness,0.868603,0.010811,indirectness_Claude,Claude
Claude,framing,0.817384,0.012348,framing_Claude,Claude
Gemini,validation,0.529147,0.015927,validation_Gemini,Gemini
Gemini,indirectness,0.582141,0.015738,indirectness_Gemini,Gemini
Gemini,framing,0.78149,0.013191,framing_Gemini,Gemini
GPT-4o,validation,0.826928,0.012073,validation_GPT-4o,GPT-4o
GPT-4o,indirectness,0.849007,0.011423,indirectness_GPT-4o,GPT-4o
GPT-4o,framing,0.838024,0.011769,framing_GPT-4o,GPT-4o
GPT-5,validation,0.644238,0.015274,validation_GPT-5,GPT-5
GPT-5,indirectness,0.764909,0.013533,indirectness_GPT-5,GPT-5
GPT-5,framing,0.947928,0.007099,framing_GPT-5,GPT-5
Llama-8B,validation,0.778133,0.013301,validation_Llama-8B,Llama-8B
Llama-8B,indirectness,0.830163,0.012047,indirectness_Llama-8B,Llama-8B
Llama-8B,framing,0.818933,0.012327,framing_Llama-8B,Llama-8B
Llama-17B,validation,0.830128,0.01203,validation_Llama-17B,Llama-17B
Llama-17B,indirectness,0.892086,0.009928,indirectness_Llama-17B,Llama-17B
Llama-17B,framing,0.886181,0.010188,framing_Llama-17B,Llama-17B
Llama-70B,validation,0.840085,0.011691,validation_Llama-70B,Llama-70B
Llama-70B,indirectness,0.906804,0.009272,indirectness_Llama-70B,Llama-70B
Llama-70B,framing,0.815061,0.012415,framing_Llama-70B,Llama-70B
Mistral-7B,validation,0.672756,0.014966,validation_Mistral-7B,Mistral-7B
Mistral-7B,indirectness,0.793962,0.012902,indirectness_Mistral-7B,Mistral-7B
Mistral-7B,framing,0.88995,0.00999,framing_Mistral-7B,Mistral-7B
Mistral-24B,validation,0.442944,0.015844,validation_Mistral-24B,Mistral-24B
Mistral-24B,indirectness,0.727418,0.014247,indirectness_Mistral-24B,Mistral-24B
Mistral-24B,framing,0.890098,0.009989,framing_Mistral-24B,Mistral-24B
Qwen,validation,0.64125,0.015299,validation_Qwen,Qwen
Qwen,indirectness,0.958951,0.006329,indirectness_Qwen,Qwen
Qwen,framing,0.940817,0.007535,framing_Qwen,Qwen
DeepSeek,validation,0.397141,0.015607,validation_DeepSeek,DeepSeek
DeepSeek,indirectness,0.541755,0.015928,indirectness_DeepSeek,DeepSeek
DeepSeek,framing,0.793478,0.01292,framing_DeepSeek,DeepSeek
