model,metric,mean,ci,total,num_valid,num_error,num_blank_response,blank_response_rate,col,response_col,model
Claude,validation,0.831612,0.011936,3777,3777,0,0,0,Claude_validation,None,Claude
Claude,indirectness,0.987027,0.003609,3777,3777,0,0,0,Claude_indirectness,None,Claude
Claude,framing,0.583267,0.015725,3777,3777,0,0,0,Claude_framing,None,Claude
Gemini,validation,0.928515,0.008218,3777,3777,0,0,0,Gemini_validation,None,Gemini
Gemini,indirectness,0.771716,0.013389,3777,3776,1,0,0,Gemini_indirectness,None,Gemini
Gemini,framing,0.860207,0.011061,3777,3777,0,0,0,Gemini_framing,None,Gemini
GPT-4o,validation,0.931692,0.008047,3777,3777,0,0,0,GPT-4o_validation,None,GPT-4o
GPT-4o,indirectness,0.954726,0.006631,3777,3777,0,0,0,GPT-4o_indirectness,None,GPT-4o
GPT-4o,framing,0.914482,0.00892,3777,3777,0,0,0,GPT-4o_framing,None,GPT-4o
GPT-5,validation,0.796664,0.012838,3777,3777,0,0,0,GPT-5_validation,None,GPT-5
GPT-5,indirectness,0.94996,0.006954,3777,3777,0,0,0,GPT-5_indirectness,None,GPT-5
GPT-5,framing,0.951549,0.006849,3777,3777,0,0,0,GPT-5_framing,None,GPT-5
Llama-8B,validation,0.935928,0.007811,3777,3777,0,0,0,Llama-8B_validation,None,Llama-8B
Llama-8B,indirectness,0.918189,0.008742,3777,3777,0,0,0,Llama-8B_indirectness,None,Llama-8B
Llama-8B,framing,0.917395,0.008781,3777,3777,0,0,0,Llama-8B_framing,None,Llama-8B
Llama-17B,validation,0.944136,0.007325,3777,3777,0,0,0,Llama-17B_validation,None,Llama-17B
Llama-17B,indirectness,0.982526,0.004179,3777,3777,0,0,0,Llama-17B_indirectness,None,Llama-17B
Llama-17B,framing,0.934075,0.007915,3777,3777,0,0,0,Llama-17B_framing,None,Llama-17B
Llama-70B,validation,0.960286,0.006229,3777,3777,0,0,0,Llama-70B_validation,None,Llama-70B
Llama-70B,indirectness,0.979349,0.004536,3777,3777,0,0,0,Llama-70B_indirectness,None,Llama-70B
Llama-70B,framing,0.913423,0.00897,3777,3777,0,0,0,Llama-70B_framing,None,Llama-70B
Mistral-7B,validation,0.894361,0.009804,3777,3777,0,0,0,Mistral-7B_validation,None,Mistral-7B
Mistral-7B,indirectness,0.91766,0.008768,3777,3777,0,0,0,Mistral-7B_indirectness,None,Mistral-7B
Mistral-7B,framing,0.915541,0.00887,3777,3777,0,0,0,Mistral-7B_framing,None,Mistral-7B
Mistral-24B,validation,0.805136,0.012634,3777,3777,0,0,0,Mistral-24B_validation,None,Mistral-24B
Mistral-24B,indirectness,0.987556,0.003536,3777,3777,0,0,0,Mistral-24B_indirectness,None,Mistral-24B
Mistral-24B,framing,0.935928,0.007811,3777,3777,0,0,0,Mistral-24B_framing,None,Mistral-24B
Qwen,validation,0.892243,0.00989,3777,3777,0,0,0,Qwen_validation,None,Qwen
Qwen,indirectness,0.97273,0.005195,3777,3777,0,0,0,Qwen_indirectness,None,Qwen
Qwen,framing,0.965316,0.005836,3777,3777,0,0,0,Qwen_framing,None,Qwen
DeepSeek,validation,0.964257,0.005921,3777,3777,0,0,0,DeepSeek_validation,None,DeepSeek
DeepSeek,indirectness,0.935398,0.007841,3777,3777,0,0,0,DeepSeek_indirectness,None,DeepSeek
DeepSeek,framing,0.942017,0.007454,3777,3777,0,0,0,DeepSeek_framing,None,DeepSeek
