model,metric,mean,ci,total,num_valid,num_error,num_blank_response,blank_response_rate,col,response_col,model
Claude,validation,0.7035,0.020021,2000,2000,0,0,0,Claude_validation_metric,Claude_model_response,Claude
Claude,indirectness,0.532,0.021874,2000,2000,0,0,0,Claude_indirectness_metric,Claude_model_response,Claude
Claude,framing,0.4975,0.021919,2000,2000,0,0,0,Claude_framing_metric,Claude_model_response,Claude
Gemini,validation,0.715358,0.019787,2000,1999,0,1,0.0005,Gemini_validation_metric,Gemini_model_response,Gemini
Gemini,indirectness,0.44022,0.021767,2000,1999,0,1,0.0005,Gemini_indirectness_metric,Gemini_model_response,Gemini
Gemini,framing,0.714857,0.019797,2000,1999,0,1,0.0005,Gemini_framing_metric,Gemini_model_response,Gemini
GPT-4o,validation,0.7645,0.018601,2000,2000,0,0,0,GPT-4o_validation_metric,GPT-4o_model_response,GPT-4o
GPT-4o,indirectness,0.8985,0.013239,2000,2000,0,0,0,GPT-4o_indirectness_metric,GPT-4o_model_response,GPT-4o
GPT-4o,framing,0.869,0.014791,2000,2000,0,0,0,GPT-4o_framing_metric,GPT-4o_model_response,GPT-4o
GPT-5,validation,0.8145,0.01704,2000,2000,0,0,0,GPT-5_validation_metric,GPT-5_model_response,GPT-5
GPT-5,indirectness,0.9155,0.012193,2000,2000,0,0,0,GPT-5_indirectness_metric,GPT-5_model_response,GPT-5
GPT-5,framing,0.851,0.01561,2000,2000,0,0,0,GPT-5_framing_metric,GPT-5_model_response,GPT-5
Llama-8B,validation,0.4055,0.021524,2000,2000,0,0,0,Llama-8B_validation_metric,Llama-8B_model_response,Llama-8B
Llama-8B,indirectness,0.789,0.017887,2000,2000,0,0,0,Llama-8B_indirectness_metric,Llama-8B_model_response,Llama-8B
Llama-8B,framing,0.9075,0.012701,2000,2000,0,0,0,Llama-8B_framing_metric,Llama-8B_model_response,Llama-8B
Llama-17B,validation,0.465,0.021865,2000,2000,0,0,0,Llama-17B_validation_metric,Llama-17B_model_response,Llama-17B
Llama-17B,indirectness,0.708,0.019932,2000,2000,0,0,0,Llama-17B_indirectness_metric,Llama-17B_model_response,Llama-17B
Llama-17B,framing,0.951,0.009463,2000,2000,0,0,0,Llama-17B_framing_metric,Llama-17B_model_response,Llama-17B
Llama-70B,validation,0.516,0.021908,2000,2000,0,0,0,Llama-70B_validation_metric,Llama-70B_model_response,Llama-70B
Llama-70B,indirectness,0.623,0.021245,2000,2000,0,0,0,Llama-70B_indirectness_metric,Llama-70B_model_response,Llama-70B
Llama-70B,framing,0.921,0.011825,2000,2000,0,0,0,Llama-70B_framing_metric,Llama-70B_model_response,Llama-70B
Mistral-7B,validation,0.5475,0.02182,2000,2000,0,0,0,Mistral-7B_validation_metric,Mistral-7B_model_response,Mistral-7B
Mistral-7B,indirectness,0.888,0.013825,2000,2000,0,0,0,Mistral-7B_indirectness_metric,Mistral-7B_model_response,Mistral-7B
Mistral-7B,framing,0.9685,0.007657,2000,2000,0,0,0,Mistral-7B_framing_metric,Mistral-7B_model_response,Mistral-7B
Mistral-24B,validation,0.5675,0.021718,2000,2000,0,0,0,Mistral-24B_validation_metric,Mistral-24B_model_response,Mistral-24B
Mistral-24B,indirectness,0.941,0.010329,2000,2000,0,0,0,Mistral-24B_indirectness_metric,Mistral-24B_model_response,Mistral-24B
Mistral-24B,framing,0.9555,0.00904,2000,2000,0,0,0,Mistral-24B_framing_metric,Mistral-24B_model_response,Mistral-24B
Qwen,validation,0.673,0.020565,2000,2000,0,0,0,Qwen_validation_metric,Qwen_model_response,Qwen
Qwen,indirectness,0.985,0.005329,2000,2000,0,0,0,Qwen_indirectness_metric,Qwen_model_response,Qwen
Qwen,framing,0.9515,0.009417,2000,2000,0,0,0,Qwen_framing_metric,Qwen_model_response,Qwen
DeepSeek,validation,0.6955,0.020174,2000,2000,0,0,0,DeepSeek_validation_metric,DeepSeek_model_response,DeepSeek
DeepSeek,indirectness,0.853,0.015523,2000,2000,0,0,0,DeepSeek_indirectness_metric,DeepSeek_model_response,DeepSeek
DeepSeek,framing,0.8865,0.013906,2000,2000,0,0,0,DeepSeek_framing_metric,DeepSeek_model_response,DeepSeek
