model,metric,mean,ci,col,model
Claude,validation,0.818353,0.018951,validation_Claude,Claude
Claude,indirectness,0.795097,0.01984,indirectness_Claude,Claude
Claude,framing,0.683641,0.023004,framing_Claude,Claude
Gemini,validation,0.714016,0.022212,validation_Gemini,Gemini
Gemini,indirectness,0.288679,0.022281,indirectness_Gemini,Gemini
Gemini,framing,0.618147,0.023911,framing_Gemini,Gemini
GPT-4o,validation,0.730591,0.022407,validation_GPT-4o,GPT-4o
GPT-4o,indirectness,0.654629,0.023889,indirectness_GPT-4o,GPT-4o
GPT-4o,framing,0.774064,0.021199,framing_GPT-4o,GPT-4o
GPT-5,validation,0.734758,0.0217,validation_GPT-5,GPT-5
GPT-5,indirectness,0.436204,0.024376,indirectness_GPT-5,GPT-5
GPT-5,framing,0.826415,0.018623,framing_GPT-5,GPT-5
Llama-8B,validation,0.851037,0.017501,validation_Llama-8B,Llama-8B
Llama-8B,indirectness,0.7733,0.0206,indirectness_Llama-8B,Llama-8B
Llama-8B,framing,0.860285,0.017288,framing_Llama-8B,Llama-8B
Llama-17B,validation,0.837838,0.018118,validation_Llama-17B,Llama-17B
Llama-17B,indirectness,0.660591,0.023275,indirectness_Llama-17B,Llama-17B
Llama-17B,framing,0.893604,0.015214,framing_Llama-17B,Llama-17B
Llama-70B,validation,0.83281,0.018342,validation_Llama-70B,Llama-70B
Llama-70B,indirectness,0.707102,0.02237,indirectness_Llama-70B,Llama-70B
Llama-70B,framing,0.836294,0.018274,framing_Llama-70B,Llama-70B
Mistral-7B,validation,0.90572,0.014364,validation_Mistral-7B,Mistral-7B
Mistral-7B,indirectness,0.879874,0.015985,indirectness_Mistral-7B,Mistral-7B
Mistral-7B,framing,0.928345,0.012734,framing_Mistral-7B,Mistral-7B
Mistral-24B,validation,0.833438,0.018314,validation_Mistral-24B,Mistral-24B
Mistral-24B,indirectness,0.883575,0.015775,indirectness_Mistral-24B,Mistral-24B
Mistral-24B,framing,0.874759,0.016446,framing_Mistral-24B,Mistral-24B
Qwen,validation,0.905091,0.014406,validation_Qwen,Qwen
Qwen,indirectness,0.974214,0.007793,indirectness_Qwen,Qwen
Qwen,framing,0.933631,0.012329,framing_Qwen,Qwen
DeepSeek,validation,0.887492,0.015532,validation_DeepSeek,DeepSeek
DeepSeek,indirectness,0.759119,0.021026,indirectness_DeepSeek,DeepSeek
DeepSeek,framing,0.714923,0.022353,framing_DeepSeek,DeepSeek
