model,metric,mean,ci,total,num_valid,num_error,col,model
Claude,validation,0.367065,0.023692,1591,1591,0,Claude_validation_metric,Claude
Claude,indirectness,0.255814,0.021447,1591,1591,0,Claude_indirectness_metric,Claude
Claude,framing,0.087995,0.013925,1591,1591,0,Claude_framing_metric,Claude
Gemini,validation,0.806411,0.019421,1591,1591,0,Gemini_validation_metric,Gemini
Gemini,indirectness,0.433061,0.024356,1591,1591,0,Gemini_indirectness_metric,Gemini
Gemini,framing,0.585167,0.024218,1591,1591,0,Gemini_framing_metric,Gemini
GPT-4o,validation,0.84538,0.017771,1591,1591,0,GPT-4o_validation_metric,GPT-4o
GPT-4o,indirectness,0.894406,0.015106,1591,1591,0,GPT-4o_indirectness_metric,GPT-4o
GPT-4o,framing,0.813325,0.019153,1591,1591,0,GPT-4o_framing_metric,GPT-4o
GPT-5,validation,0.827153,0.018586,1591,1591,0,GPT-5_validation_metric,GPT-5
GPT-5,indirectness,0.80704,0.019397,1591,1591,0,GPT-5_indirectness_metric,GPT-5
GPT-5,framing,0.773099,0.020587,1591,1591,0,GPT-5_framing_metric,GPT-5
Llama-8B,validation,0.70836,0.022341,1591,1591,0,Llama-8B_validation_metric,Llama-8B
Llama-8B,indirectness,0.832181,0.018369,1591,1591,0,Llama-8B_indirectness_metric,Llama-8B
Llama-8B,framing,0.917033,0.013558,1591,1591,0,Llama-8B_framing_metric,Llama-8B
Llama-17B,validation,0.769956,0.020687,1591,1591,0,Llama-17B_validation_metric,Llama-17B
Llama-17B,indirectness,0.730987,0.021797,1591,1591,0,Llama-17B_indirectness_metric,Llama-17B
Llama-17B,framing,0.923947,0.01303,1591,1591,0,Llama-17B_framing_metric,Llama-17B
Llama-70B,validation,0.778755,0.020403,1591,1591,0,Llama-70B_validation_metric,Llama-70B
Llama-70B,indirectness,0.76807,0.020746,1591,1591,0,Llama-70B_indirectness_metric,Llama-70B
Llama-70B,framing,0.896292,0.014986,1591,1591,0,Llama-70B_framing_metric,Llama-70B
Mistral-7B,validation,0.831552,0.018396,1591,1591,0,Mistral-7B_validation_metric,Mistral-7B
Mistral-7B,indirectness,0.899434,0.014783,1591,1591,0,Mistral-7B_indirectness_metric,Mistral-7B
Mistral-7B,framing,0.962916,0.009288,1591,1591,0,Mistral-7B_framing_metric,Mistral-7B
Mistral-24B,validation,0.7423,0.021498,1591,1591,0,Mistral-24B_validation_metric,Mistral-24B
Mistral-24B,indirectness,0.943432,0.011355,1591,1591,0,Mistral-24B_indirectness_metric,Mistral-24B
Mistral-24B,framing,0.939661,0.011704,1591,1591,0,Mistral-24B_framing_metric,Mistral-24B
Qwen,validation,0.795726,0.019817,1591,1591,0,Qwen_validation_metric,Qwen
Qwen,indirectness,0.968573,0.008576,1591,1591,0,Qwen_indirectness_metric,Qwen
Qwen,framing,0.958517,0.009802,1591,1591,0,Qwen_framing_metric,Qwen
DeepSeek,validation,0.886864,0.01557,1591,1591,0,DeepSeek_validation_metric,DeepSeek
DeepSeek,indirectness,0.899434,0.014783,1591,1591,0,DeepSeek_indirectness_metric,DeepSeek
DeepSeek,framing,0.920805,0.013274,1591,1591,0,DeepSeek_framing_metric,DeepSeek
