model,metric,mean,ci,total,num_valid,num_error,num_blank_response,blank_response_rate,col,response_col,model
Claude,validation,0.655434,0.016933,3027,3027,0,0,0,Claude_validation_metric,Claude_model_response,Claude
Claude,indirectness,0.60522,0.017416,3027,3027,0,0,0,Claude_indirectness_metric,Claude_model_response,Claude
Claude,framing,0.640568,0.017097,3027,3027,0,0,0,Claude_framing_metric,Claude_model_response,Claude
Gemini,validation,0.814754,0.013852,3027,3023,0,4,0.001321,Gemini_validation_metric,Gemini_model_response,Gemini
Gemini,indirectness,0.388025,0.017374,3027,3023,0,4,0.001321,Gemini_indirectness_metric,Gemini_model_response,Gemini
Gemini,framing,0.773735,0.014918,3027,3023,0,4,0.001321,Gemini_framing_metric,Gemini_model_response,Gemini
GPT-4o,validation,0.758837,0.015242,3027,3027,0,0,0,GPT-4o_validation_metric,GPT-4o_model_response,GPT-4o
GPT-4o,indirectness,0.909812,0.010206,3027,3027,0,0,0,GPT-4o_indirectness_metric,GPT-4o_model_response,GPT-4o
GPT-4o,framing,0.925669,0.009346,3027,3027,0,0,0,GPT-4o_framing_metric,GPT-4o_model_response,GPT-4o
GPT-5,validation,0.688801,0.016496,3027,3027,0,0,0,GPT-5_validation_metric,GPT-5_model_response,GPT-5
GPT-5,indirectness,0.736373,0.015699,3027,3027,0,0,0,GPT-5_indirectness_metric,GPT-5_model_response,GPT-5
GPT-5,framing,0.885035,0.011365,3027,3027,0,0,0,GPT-5_framing_metric,GPT-5_model_response,GPT-5
Llama-8B,validation,0.680211,0.016618,3027,3027,0,0,0,Llama-8B_validation_metric,Llama-8B_model_response,Llama-8B
Llama-8B,indirectness,0.892963,0.011016,3027,3027,0,0,0,Llama-8B_indirectness_metric,Llama-8B_model_response,Llama-8B
Llama-8B,framing,0.952098,0.007609,3027,3027,0,0,0,Llama-8B_framing_metric,Llama-8B_model_response,Llama-8B
Llama-17B,validation,0.672944,0.016716,3027,3027,0,0,0,Llama-17B_validation_metric,Llama-17B_model_response,Llama-17B
Llama-17B,indirectness,0.905847,0.010406,3027,3027,0,0,0,Llama-17B_indirectness_metric,Llama-17B_model_response,Llama-17B
Llama-17B,framing,0.964321,0.006609,3027,3027,0,0,0,Llama-17B_framing_metric,Llama-17B_model_response,Llama-17B
Llama-70B,validation,0.643211,0.017069,3027,3027,0,0,0,Llama-70B_validation_metric,Llama-70B_model_response,Llama-70B
Llama-70B,indirectness,0.898249,0.010772,3027,3027,0,0,0,Llama-70B_indirectness_metric,Llama-70B_model_response,Llama-70B
Llama-70B,framing,0.953089,0.007534,3027,3027,0,0,0,Llama-70B_framing_metric,Llama-70B_model_response,Llama-70B
Mistral-7B,validation,0.549719,0.017727,3027,3027,0,0,0,Mistral-7B_validation_metric,Mistral-7B_model_response,Mistral-7B
Mistral-7B,indirectness,0.925999,0.009327,3027,3027,0,0,0,Mistral-7B_indirectness_metric,Mistral-7B_model_response,Mistral-7B
Mistral-7B,framing,0.975884,0.005466,3027,3027,0,0,0,Mistral-7B_framing_metric,Mistral-7B_model_response,Mistral-7B
Mistral-24B,validation,0.560951,0.017682,3027,3027,0,0,0,Mistral-24B_validation_metric,Mistral-24B_model_response,Mistral-24B
Mistral-24B,indirectness,0.96366,0.006668,3027,3027,0,0,0,Mistral-24B_indirectness_metric,Mistral-24B_model_response,Mistral-24B
Mistral-24B,framing,0.976875,0.005355,3027,3027,0,0,0,Mistral-24B_framing_metric,Mistral-24B_model_response,Mistral-24B
Qwen,validation,0.533862,0.017774,3027,3027,0,0,0,Qwen_validation_metric,Qwen_model_response,Qwen
Qwen,indirectness,0.959366,0.007035,3027,3027,0,0,0,Qwen_indirectness_metric,Qwen_model_response,Qwen
Qwen,framing,0.975223,0.005539,3027,3027,0,0,0,Qwen_framing_metric,Qwen_model_response,Qwen
DeepSeek,validation,0.670631,0.016746,3027,3027,0,0,0,DeepSeek_validation_metric,DeepSeek_model_response,DeepSeek
DeepSeek,indirectness,0.879749,0.011589,3027,3027,0,0,0,DeepSeek_indirectness_metric,DeepSeek_model_response,DeepSeek
DeepSeek,framing,0.966634,0.006399,3027,3027,0,0,0,DeepSeek_framing_metric,DeepSeek_model_response,DeepSeek
