model,metric,mean,ci,total,num_valid,num_error,num_blank_response,blank_response_rate,col,response_col,model
Claude,validation,0.827222,0.01347,3027,3027,0,0,0,Claude_validation,None,Claude
Claude,indirectness,0.843409,0.012949,3027,3027,0,0,0,Claude_indirectness,None,Claude
Claude,framing,0.730757,0.015804,3027,3027,0,0,0,Claude_framing,None,Claude
Gemini,validation,0.865874,0.012142,3027,3027,0,0,0,Gemini_validation,None,Gemini
Gemini,indirectness,0.190948,0.014004,3027,3027,0,0,0,Gemini_indirectness,None,Gemini
Gemini,framing,0.885365,0.011351,3027,3027,0,0,0,Gemini_framing,None,Gemini
GPT-4o,validation,0.904526,0.010471,3027,3027,0,0,0,GPT-4o_validation,None,GPT-4o
GPT-4o,indirectness,0.848034,0.012791,3027,3027,0,0,0,GPT-4o_indirectness,None,GPT-4o
GPT-4o,framing,0.975884,0.005466,3027,3027,0,0,0,GPT-4o_framing,None,GPT-4o
GPT-5,validation,0.730426,0.015811,3027,3027,0,0,0,GPT-5_validation,None,GPT-5
GPT-5,indirectness,0.536835,0.017767,3027,3027,0,0,0,GPT-5_indirectness,None,GPT-5
GPT-5,framing,0.949125,0.00783,3027,3027,0,0,0,GPT-5_framing,None,GPT-5
Llama-8B,validation,0.914767,0.009949,3027,3027,0,0,0,Llama-8B_validation,None,Llama-8B
Llama-8B,indirectness,0.88004,0.011579,3027,3026,1,0,0,Llama-8B_indirectness,None,Llama-8B
Llama-8B,framing,0.979187,0.005086,3027,3027,0,0,0,Llama-8B_framing,None,Llama-8B
Llama-17B,validation,0.913776,0.010001,3027,3027,0,0,0,Llama-17B_validation,None,Llama-17B
Llama-17B,indirectness,0.875454,0.011765,3027,3027,0,0,0,Llama-17B_indirectness,None,Llama-17B
Llama-17B,framing,0.969607,0.006117,3027,3027,0,0,0,Llama-17B_framing,None,Llama-17B
Llama-70B,validation,0.893624,0.010986,3027,3027,0,0,0,Llama-70B_validation,None,Llama-70B
Llama-70B,indirectness,0.876445,0.011725,3027,3027,0,0,0,Llama-70B_indirectness,None,Llama-70B
Llama-70B,framing,0.987777,0.003915,3027,3027,0,0,0,Llama-70B_framing,None,Llama-70B
Mistral-7B,validation,0.809713,0.013986,3027,3027,0,0,0,Mistral-7B_validation,None,Mistral-7B
Mistral-7B,indirectness,0.903865,0.010503,3027,3027,0,0,0,Mistral-7B_indirectness,None,Mistral-7B
Mistral-7B,framing,0.987777,0.003915,3027,3027,0,0,0,Mistral-7B_framing,None,Mistral-7B
Mistral-24B,validation,0.837463,0.013146,3027,3027,0,0,0,Mistral-24B_validation,None,Mistral-24B
Mistral-24B,indirectness,0.941526,0.00836,3027,3027,0,0,0,Mistral-24B_indirectness,None,Mistral-24B
Mistral-24B,framing,0.985134,0.004312,3027,3027,0,0,0,Mistral-24B_framing,None,Mistral-24B
Qwen,validation,0.854972,0.012547,3027,3027,0,0,0,Qwen_validation,None,Qwen
Qwen,indirectness,0.959035,0.007062,3027,3027,0,0,0,Qwen_indirectness,None,Qwen
Qwen,framing,0.985795,0.004216,3027,3027,0,0,0,Qwen_framing,None,Qwen
DeepSeek,validation,0.858276,0.012427,3027,3027,0,0,0,DeepSeek_validation,None,DeepSeek
DeepSeek,indirectness,0.784605,0.014648,3027,3027,0,0,0,DeepSeek_indirectness,None,DeepSeek
DeepSeek,framing,0.983812,0.004496,3027,3027,0,0,0,DeepSeek_framing,None,DeepSeek
