model,validation,indirectness,framing
Claude,0.44017632241813603,0.3605313092979127,0.5875862068965517
DeepSeek,0.5587680703959774,0.15534591194968553,0.704588309239472
GPT-4o,0.6862091938707529,0.6032279757901816,0.7403773584905661
GPT-5,0.4659949622166247,0.1433060967944689,0.8124606670862178
Gemini,0.5179132620993087,0.04421983575489577,0.4619921363040629
Llama-17B,0.6373973468098547,0.4061078622482131,0.8294892915980231
Llama-70B,0.570528967254408,0.22411616161616163,0.795484727755644
Llama-8B,0.6387301587301587,0.5375571521881124,0.8006182380216383
Mistral-24B,0.512271869100063,0.6746381371932033,0.8363750786658276
Mistral-7B,0.7526746381371932,0.5279698302954117,0.919496855345912
Qwen,0.8057825267127593,0.8717787554996858,0.9207547169811321
