model,metric,mean,ci,total,num_valid,num_error,num_blank_response,blank_response_rate,col,response_col,model
Claude,validation,0.648663,0.015227,3777,3777,0,0,0,Claude_validation_metric,Claude_model_response,Claude
Claude,indirectness,0.860207,0.011061,3777,3777,0,0,0,Claude_indirectness_metric,Claude_model_response,Claude
Claude,framing,0.426794,0.015776,3777,3777,0,0,0,Claude_framing_metric,Claude_model_response,Claude
Gemini,validation,0.877351,0.010466,3777,3775,0,2,0.00053,Gemini_validation_metric,Gemini_model_response,Gemini
Gemini,indirectness,0.753113,0.013757,3777,3775,0,2,0.00053,Gemini_indirectness_metric,Gemini_model_response,Gemini
Gemini,framing,0.756026,0.013702,3777,3775,0,2,0.00053,Gemini_framing_metric,Gemini_model_response,Gemini
GPT-4o,validation,0.848292,0.011442,3777,3777,0,0,0,GPT-4o_validation_metric,GPT-4o_model_response,GPT-4o
GPT-4o,indirectness,0.891978,0.009901,3777,3777,0,0,0,GPT-4o_indirectness_metric,GPT-4o_model_response,GPT-4o
GPT-4o,framing,0.877681,0.010451,3777,3777,0,0,0,GPT-4o_framing_metric,GPT-4o_model_response,GPT-4o
GPT-5,validation,0.680964,0.014867,3777,3777,0,0,0,GPT-5_validation_metric,GPT-5_model_response,GPT-5
GPT-5,indirectness,0.849881,0.011393,3777,3777,0,0,0,GPT-5_indirectness_metric,GPT-5_model_response,GPT-5
GPT-5,framing,0.911305,0.009068,3777,3777,0,0,0,GPT-5_framing_metric,GPT-5_model_response,GPT-5
Llama-8B,validation,0.797723,0.012813,3777,3777,0,0,0,Llama-8B_validation_metric,Llama-8B_model_response,Llama-8B
Llama-8B,indirectness,0.836113,0.011807,3777,3777,0,0,0,Llama-8B_indirectness_metric,Llama-8B_model_response,Llama-8B
Llama-8B,framing,0.854382,0.011251,3777,3777,0,0,0,Llama-8B_framing_metric,Llama-8B_model_response,Llama-8B
Llama-17B,validation,0.79587,0.012856,3777,3777,0,0,0,Llama-17B_validation_metric,Llama-17B_model_response,Llama-17B
Llama-17B,indirectness,0.949166,0.007006,3777,3777,0,0,0,Llama-17B_indirectness_metric,Llama-17B_model_response,Llama-17B
Llama-17B,framing,0.891448,0.009922,3777,3777,0,0,0,Llama-17B_framing_metric,Llama-17B_model_response,Llama-17B
Llama-70B,validation,0.829759,0.011988,3777,3777,0,0,0,Llama-70B_validation_metric,Llama-70B_model_response,Llama-70B
Llama-70B,indirectness,0.932221,0.008018,3777,3777,0,0,0,Llama-70B_indirectness_metric,Llama-70B_model_response,Llama-70B
Llama-70B,framing,0.865237,0.010892,3777,3777,0,0,0,Llama-70B_framing_metric,Llama-70B_model_response,Llama-70B
Mistral-7B,validation,0.615038,0.01552,3777,3777,0,0,0,Mistral-7B_validation_metric,Mistral-7B_model_response,Mistral-7B
Mistral-7B,indirectness,0.796664,0.012838,3777,3777,0,0,0,Mistral-7B_indirectness_metric,Mistral-7B_model_response,Mistral-7B
Mistral-7B,framing,0.926397,0.008329,3777,3777,0,0,0,Mistral-7B_framing_metric,Mistral-7B_model_response,Mistral-7B
Mistral-24B,validation,0.416203,0.015723,3777,3777,0,0,0,Mistral-24B_validation_metric,Mistral-24B_model_response,Mistral-24B
Mistral-24B,indirectness,0.920042,0.008651,3777,3777,0,0,0,Mistral-24B_indirectness_metric,Mistral-24B_model_response,Mistral-24B
Mistral-24B,framing,0.935134,0.007856,3777,3777,0,0,0,Mistral-24B_framing_metric,Mistral-24B_model_response,Mistral-24B
Qwen,validation,0.506751,0.015947,3777,3777,0,0,0,Qwen_validation_metric,Qwen_model_response,Qwen
Qwen,indirectness,0.960551,0.006209,3777,3777,0,0,0,Qwen_indirectness_metric,Qwen_model_response,Qwen
Qwen,framing,0.961875,0.006108,3777,3777,0,0,0,Qwen_framing_metric,Qwen_model_response,Qwen
DeepSeek,validation,0.813079,0.012435,3777,3777,0,0,0,DeepSeek_validation_metric,DeepSeek_model_response,DeepSeek
DeepSeek,indirectness,0.916336,0.008832,3777,3777,0,0,0,DeepSeek_indirectness_metric,DeepSeek_model_response,DeepSeek
DeepSeek,framing,0.929044,0.008189,3777,3777,0,0,0,DeepSeek_framing_metric,DeepSeek_model_response,DeepSeek
