comparison_label,metric,file_a,file_b,file_a_path,file_b_path,score_column_a,score_column_b,temperature_a,temperature_b,seed_a,seed_b,judge_temperature_a,judge_temperature_b,judge_seed_a,judge_seed_b,rows_file_a,rows_file_b,paired_valid_rows,mean_a,mean_b,mean_difference_b_minus_a,agreement_count,agreement_rate,discordant_count,a0_b1_count,a1_b0_count,mcnemar_exact_binomial_p_value,alpha,is_significant_at_alpha_0_05,significance_interpretation,tost_equivalence_margin,tost_lower_bound,tost_upper_bound,tost_lower_p_value,tost_upper_p_value,tost_p_value,is_equivalent_at_alpha_0_05,equivalence_interpretation
q4_vs_q8,validation,llama3_q4_scored.csv,llama3_q8_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_scored.csv,validation_llama3_8b_q4_scored,validation_llama3_8b_q8_scored,0,0,123,123,0,0,123,123,200,200,200,0.36,0.37,0.01,152,0.76,48,25,23,0.8854334973,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that llama3_q8_scored.csv and llama3_q4_scored.csv differ for validation.,0.05,-0.05,0.05,0.04276298657,0.1253412865,0.1253412865,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
q4_vs_q8,indirectness,llama3_q4_scored.csv,llama3_q8_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_scored.csv,indirectness_llama3_8b_q4_scored,indirectness_llama3_8b_q8_scored,0,0,123,123,0,0,123,123,200,200,200,0.73,0.855,0.125,149,0.745,51,38,13,0.0006210434562,0.05,TRUE,"Significant at alpha=0.05: among discordant paired rows, llama3_q8_scored.csv scores higher than llama3_q4_scored.csv for indirectness more often than expected by chance.",0.05,-0.05,0.05,5.08E-07,0.9841122369,0.9841122369,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for indirectness was not statistically shown to be inside the practical equivalence range.
q4_vs_q8,framing,llama3_q4_scored.csv,llama3_q8_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_scored.csv,framing_llama3_8b_q4_scored,framing_llama3_8b_q8_scored,0,0,123,123,0,0,123,123,200,200,200,0.88,0.9,0.02,180,0.9,20,12,8,0.5034446716,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that llama3_q8_scored.csv and llama3_q4_scored.csv differ for framing.,0.05,-0.05,0.05,0.001009011177,0.09072986143,0.09072986143,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for framing was not statistically shown to be inside the practical equivalence range.
q4_paper_parameters_vs_q8_paper_parameters,validation,llama3_q4_paper_parameters_scored.csv,llama3_q8_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_paper_parameters_scored.csv,validation_llama3_8b_q4_scored,validation_llama3_8b_q8_scored,0.6,0.6,123,123,0,0,123,123,200,200,200,0.4,0.4,0,142,0.71,58,29,29,1,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that llama3_q8_paper_parameters_scored.csv and llama3_q4_paper_parameters_scored.csv differ for validation.,0.05,-0.05,0.05,0.09589056506,0.09589056506,0.09589056506,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
q4_paper_parameters_vs_q8_paper_parameters,indirectness,llama3_q4_paper_parameters_scored.csv,llama3_q8_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_paper_parameters_scored.csv,indirectness_llama3_8b_q4_scored,indirectness_llama3_8b_q8_scored,0.6,0.6,123,123,0,0,123,123,200,200,200,0.725,0.845,0.12,158,0.79,42,33,9,0.0002715392343,0.05,TRUE,"Significant at alpha=0.05: among discordant paired rows, llama3_q8_paper_parameters_scored.csv scores higher than llama3_q4_paper_parameters_scored.csv for indirectness more often than expected by chance.",0.05,-0.05,0.05,8.47E-08,0.9866601905,0.9866601905,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for indirectness was not statistically shown to be inside the practical equivalence range.
q4_paper_parameters_vs_q8_paper_parameters,framing,llama3_q4_paper_parameters_scored.csv,llama3_q8_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_paper_parameters_scored.csv,framing_llama3_8b_q4_scored,framing_llama3_8b_q8_scored,0.6,0.6,123,123,0,0,123,123,200,200,200,0.88,0.885,0.005,177,0.885,23,12,11,1,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that llama3_q8_paper_parameters_scored.csv and llama3_q4_paper_parameters_scored.csv differ for framing.,0.05,-0.05,0.05,0.01158928866,0.03132738683,0.03132738683,TRUE,Equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for framing is statistically within the practical equivalence range.
q4_vs_q4_paper_parameters,validation,llama3_q4_scored.csv,llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,validation_llama3_8b_q4_scored,validation_llama3_8b_q4_scored,0,0.6,123,123,0,0,123,123,200,200,200,0.36,0.4,0.04,144,0.72,56,32,24,0.349681953,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that llama3_q4_paper_parameters_scored.csv and llama3_q4_scored.csv differ for validation.,0.05,-0.05,0.05,0.008516577127,0.3947355058,0.3947355058,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
q4_vs_q4_paper_parameters,indirectness,llama3_q4_scored.csv,llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,indirectness_llama3_8b_q4_scored,indirectness_llama3_8b_q4_scored,0,0.6,123,123,0,0,123,123,200,200,200,0.73,0.725,-0.005,141,0.705,59,29,30,1,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that llama3_q4_paper_parameters_scored.csv and llama3_q4_scored.csv differ for indirectness.,0.05,-0.05,0.05,0.1219378317,0.0773500843,0.1219378317,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for indirectness was not statistically shown to be inside the practical equivalence range.
q4_vs_q4_paper_parameters,framing,llama3_q4_scored.csv,llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,framing_llama3_8b_q4_scored,framing_llama3_8b_q4_scored,0,0.6,123,123,0,0,123,123,200,200,200,0.88,0.88,0,176,0.88,24,12,12,1,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that llama3_q4_paper_parameters_scored.csv and llama3_q4_scored.csv differ for framing.,0.05,-0.05,0.05,0.02153109322,0.02153109322,0.02153109322,TRUE,Equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for framing is statistically within the practical equivalence range.
q8_vs_q8_paper_parameters,validation,llama3_q8_scored.csv,llama3_q8_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_scored.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_paper_parameters_scored.csv,validation_llama3_8b_q8_scored,validation_llama3_8b_q8_scored,0,0.6,123,123,0,0,123,123,200,200,200,0.37,0.4,0.03,156,0.78,44,25,19,0.4513808324,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that llama3_q8_paper_parameters_scored.csv and llama3_q8_scored.csv differ for validation.,0.05,-0.05,0.05,0.008409097833,0.2736815031,0.2736815031,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
