alternate_judge,response_model,total_label_pairs,valid_paired_labels,excluded_label_pairs,TP,TN,FP,FN,agreement,precision,recall,number_included_datasets,included_datasets,included_dimensions
Llama-70B,Claude,28404,28404,0,13789,8242,5434,939,0.7756301929305731,0.7173177963897415,0.9362438891906573,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
Llama-70B,Gemini,28404,28404,0,15624,7953,2239,2588,0.8300591465990705,0.8746571124671108,0.8578958928179222,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
Llama-70B,GPT-4o,28404,28404,0,23249,1927,2241,987,0.886354034643008,0.9120831698705375,0.959275457996369,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
Llama-70B,GPT-5,28404,28404,0,21736,2971,1992,1705,0.8698422757358119,0.9160485502360081,0.9272641952135148,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
Llama-70B,Llama-8B,28404,28403,1,21831,2127,3923,522,0.8435024469246206,0.8476741477052109,0.9766474298751845,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
Llama-70B,Llama-17B,28404,28404,0,21807,2399,3521,677,0.8522039149415576,0.8609838913455464,0.9698896993417542,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
Llama-70B,Llama-70B,28404,28404,0,21168,3051,3407,778,0.8526615969581749,0.8613631739572737,0.9645493484006197,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
Llama-70B,Mistral-7B,28404,28404,0,23436,1746,2779,443,0.8865652724968315,0.8939919893190921,0.9814481343439843,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
Llama-70B,Mistral-24B,28404,28404,0,23752,1575,2613,464,0.8916701872975638,0.9008913332069031,0.9808391146349521,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
Llama-70B,Qwen,28404,28404,0,24735,939,2528,202,0.9038867765103507,0.9072735942486153,0.991899586959137,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
Llama-70B,DeepSeek,28404,28404,0,22995,2066,2242,1101,0.8823053091113927,0.9111621825098071,0.9543077689243028,5,"AITA-NTA-FLIP, AITA-NTA-OG, AITA-YTA, OEQ, SS","validation, indirectness, framing"
