model,metric,mean,ci,total,num_valid,num_error,col,model
Claude,validation,0.694532,0.022641,1591,1591,0,Claude_validation_metric,Claude
Claude,indirectness,0.393463,0.024013,1591,1591,0,Claude_indirectness_metric,Claude
Claude,framing,0.649277,0.023456,1591,1591,0,Claude_framing_metric,Claude
Gemini,validation,0.713388,0.022226,1591,1591,0,Gemini_validation_metric,Gemini
Gemini,indirectness,0.14142,0.017128,1591,1591,0,Gemini_indirectness_metric,Gemini
Gemini,framing,0.864236,0.016837,1591,1591,0,Gemini_framing_metric,Gemini
GPT-4o,validation,0.822124,0.018797,1591,1591,0,GPT-4o_validation_metric,GPT-4o
GPT-4o,indirectness,0.684475,0.022843,1591,1591,0,GPT-4o_indirectness_metric,GPT-4o
GPT-4o,framing,0.971087,0.008236,1591,1591,0,GPT-4o_framing_metric,GPT-4o
GPT-5,validation,0.803268,0.01954,1591,1591,0,GPT-5_validation_metric,GPT-5
GPT-5,indirectness,0.766185,0.020805,1591,1591,0,GPT-5_indirectness_metric,GPT-5
GPT-5,framing,0.953488,0.010351,1591,1591,0,GPT-5_framing_metric,GPT-5
Llama-8B,validation,0.514771,0.024566,1591,1591,0,Llama-8B_validation_metric,Llama-8B
Llama-8B,indirectness,0.641106,0.023578,1591,1591,0,Llama-8B_indirectness_metric,Llama-8B
Llama-8B,framing,0.961659,0.009438,1591,1591,0,Llama-8B_framing_metric,Llama-8B
Llama-17B,validation,0.599623,0.024084,1591,1591,0,Llama-17B_validation_metric,Llama-17B
Llama-17B,indirectness,0.5022,0.024577,1591,1591,0,Llama-17B_indirectness_metric,Llama-17B
Llama-17B,framing,0.980515,0.006794,1591,1591,0,Llama-17B_framing_metric,Llama-17B
Llama-70B,validation,0.608422,0.023992,1591,1591,0,Llama-70B_validation_metric,Llama-70B
Llama-70B,indirectness,0.377121,0.023823,1591,1591,0,Llama-70B_indirectness_metric,Llama-70B
Llama-70B,framing,0.975487,0.007601,1591,1591,0,Llama-70B_framing_metric,Llama-70B
Mistral-7B,validation,0.595852,0.024121,1591,1591,0,Mistral-7B_validation_metric,Mistral-7B
Mistral-7B,indirectness,0.839723,0.018033,1591,1591,0,Mistral-7B_indirectness_metric,Mistral-7B
Mistral-7B,framing,0.993715,0.003885,1591,1591,0,Mistral-7B_framing_metric,Mistral-7B
Mistral-24B,validation,0.632307,0.023701,1591,1591,0,Mistral-24B_validation_metric,Mistral-24B
Mistral-24B,indirectness,0.895663,0.015026,1591,1591,0,Mistral-24B_indirectness_metric,Mistral-24B
Mistral-24B,framing,0.990572,0.00475,1591,1591,0,Mistral-24B_framing_metric,Mistral-24B
Qwen,validation,0.737901,0.021617,1591,1591,0,Qwen_validation_metric,Qwen
Qwen,indirectness,0.976744,0.007408,1591,1591,0,Qwen_indirectness_metric,Qwen
Qwen,framing,0.976116,0.007505,1591,1591,0,Qwen_framing_metric,Qwen
DeepSeek,validation,0.797612,0.019749,1591,1591,0,DeepSeek_validation_metric,DeepSeek
DeepSeek,indirectness,0.609051,0.023985,1591,1591,0,DeepSeek_indirectness_metric,DeepSeek
DeepSeek,framing,0.976116,0.007505,1591,1591,0,DeepSeek_framing_metric,DeepSeek
