model,metric,mean,ci,col,model,Againist human
Human,framing,0.473029,0.022292,framing_Human,Human,"Human | framing       Δ=0.00% ± 3.15% [-3.15%, 3.15%]"
Human,indirectness,0.07607,0.011946,indirectness_Human,Human,"Human | indirectness  Δ=0.00% ± 1.69% [-1.69%, 1.69%]"
Human,validation,0.071715,0.011328,validation_Human,Human,"Human | validation    Δ=0.00% ± 1.60% [-1.60%, 1.60%]"
Claude,framing,0.733296,0.020459,framing_Claude,Claude,"Claude | framing       Δ=26.03% ± 3.03% [23.00%, 29.05%]"
Claude,indirectness,0.653904,0.020933,indirectness_Claude,Claude,"Claude | indirectness  Δ=57.78% ± 2.41% [55.37%, 60.19%]"
Claude,validation,0.5235,0.021895,validation_Claude,Claude,"Claude | validation    Δ=45.18% ± 2.47% [42.71%, 47.64%]"
Gemini,framing,0.257669,0.019387,framing_Gemini,Gemini,"Gemini | framing       Δ=-21.54% ± 2.95% [-24.49%, -18.58%]"
Gemini,indirectness,0.386444,0.02147,indirectness_Gemini,Gemini,"Gemini | indirectness  Δ=31.04% ± 2.46% [28.58%, 33.49%]"
Gemini,validation,0.055528,0.010087,validation_Gemini,Gemini,"Gemini | validation    Δ=-1.62% ± 1.52% [-3.14%, -0.10%]"
GPT-4o,framing,0.814965,0.018336,framing_GPT-4o,GPT-4o,"GPT-4o | framing       Δ=34.19% ± 2.89% [31.31%, 37.08%]"
GPT-4o,indirectness,0.952696,0.009386,indirectness_GPT-4o,GPT-4o,"GPT-4o | indirectness  Δ=87.66% ± 1.52% [86.14%, 89.18%]"
GPT-4o,validation,0.83442,0.016323,validation_GPT-4o,GPT-4o,"GPT-4o | validation    Δ=76.27% ± 1.99% [74.28%, 78.26%]"
GPT-5,framing,0.879718,0.014307,framing_GPT-5,GPT-5,"GPT-5 | framing       Δ=40.67% ± 2.65% [38.02%, 43.32%]"
GPT-5,indirectness,0.326643,0.020595,indirectness_GPT-5,GPT-5,"GPT-5 | indirectness  Δ=25.06% ± 2.38% [22.68%, 27.44%]"
GPT-5,validation,0.515758,0.021914,validation_GPT-5,GPT-5,"GPT-5 | validation    Δ=44.40% ± 2.47% [41.94%, 46.87%]"
Llama-8B,framing,0.817495,0.018998,framing_Llama-8B,Llama-8B,"Llama-8B | framing       Δ=34.45% ± 2.93% [31.52%, 37.38%]"
Llama-8B,indirectness,0.826064,0.016933,indirectness_Llama-8B,Llama-8B,"Llama-8B | indirectness  Δ=75.00% ± 2.07% [72.93%, 77.07%]"
Llama-8B,validation,0.645178,0.021134,validation_Llama-8B,Llama-8B,"Llama-8B | validation    Δ=57.35% ± 2.40% [54.95%, 59.74%]"
Llama-17B,framing,0.853659,0.017556,framing_Llama-17B,Llama-17B,"Llama-17B | framing       Δ=38.06% ± 2.84% [35.23%, 40.90%]"
Llama-17B,indirectness,0.796172,0.017963,indirectness_Llama-17B,Llama-17B,"Llama-17B | indirectness  Δ=72.01% ± 2.16% [69.85%, 74.17%]"
Llama-17B,validation,0.66178,0.020855,validation_Llama-17B,Llama-17B,"Llama-17B | validation    Δ=59.01% ± 2.37% [56.63%, 61.38%]"
Llama-70B,framing,0.87447,0.014949,framing_Llama-70B,Llama-70B,"Llama-70B | framing       Δ=40.14% ± 2.68% [37.46%, 42.83%]"
Llama-70B,indirectness,0.516583,0.021962,indirectness_Llama-70B,Llama-70B,"Llama-70B | indirectness  Δ=44.05% ± 2.50% [41.55%, 46.55%]"
Llama-70B,validation,0.580371,0.02165,validation_Llama-70B,Llama-70B,"Llama-70B | validation    Δ=50.87% ± 2.44% [48.42%, 53.31%]"
Mistral-7B,framing,0.945363,0.009976,framing_Mistral-7B,Mistral-7B,"Mistral-7B | framing       Δ=47.23% ± 2.44% [44.79%, 49.68%]"
Mistral-7B,indirectness,0.6435,0.020997,indirectness_Mistral-7B,Mistral-7B,"Mistral-7B | indirectness  Δ=56.74% ± 2.42% [54.33%, 59.16%]"
Mistral-7B,validation,0.650825,0.020903,validation_Mistral-7B,Mistral-7B,"Mistral-7B | validation    Δ=57.91% ± 2.38% [55.53%, 60.29%]"
Mistral-24B,framing,0.881606,0.014278,framing_Mistral-24B,Mistral-24B,"Mistral-24B | framing       Δ=40.86% ± 2.65% [38.21%, 43.50%]"
Mistral-24B,indirectness,0.836254,0.016234,indirectness_Mistral-24B,Mistral-24B,"Mistral-24B | indirectness  Δ=76.02% ± 2.02% [74.00%, 78.03%]"
Mistral-24B,validation,0.542042,0.021852,validation_Mistral-24B,Mistral-24B,"Mistral-24B | validation    Δ=47.03% ± 2.46% [44.57%, 49.49%]"
Qwen,framing,0.965222,0.008064,framing_Qwen,Qwen,"Qwen | framing       Δ=49.22% ± 2.37% [46.85%, 51.59%]"
Qwen,indirectness,0.8945,0.013467,indirectness_Qwen,Qwen,"Qwen | indirectness  Δ=81.84% ± 1.80% [80.04%, 83.64%]"
Qwen,validation,0.779,0.018189,validation_Qwen,Qwen,"Qwen | validation    Δ=70.73% ± 2.14% [68.59%, 72.87%]"
DeepSeek,framing,0.865462,0.014989,framing_DeepSeek,DeepSeek,"DeepSeek | framing       Δ=39.24% ± 2.69% [36.56%, 41.93%]"
DeepSeek,indirectness,0.3575,0.02101,indirectness_DeepSeek,DeepSeek,"DeepSeek | indirectness  Δ=28.14% ± 2.42% [25.73%, 30.56%]"
DeepSeek,validation,0.502,0.021919,validation_DeepSeek,DeepSeek,"DeepSeek | validation    Δ=43.03% ± 2.47% [40.56%, 45.50%]"
