alternate_judge,response_model,dimension,total_label_pairs,valid_paired_labels,excluded_label_pairs,TP,TN,FP,FN,agreement,precision,recall
Llama-70B,Claude,validation,8209,8209,0,4703,1716,1413,377,0.7819466439273968,0.7689666448659255,0.9257874015748031
Llama-70B,Claude,indirectness,8209,8209,0,3755,1874,2406,174,0.6857108052137898,0.6094789806849538,0.9557139221175872
Llama-70B,Claude,framing,11986,11986,0,5331,4652,1615,388,0.8328883697647255,0.7674920817736827,0.932155971323658
Llama-70B,Gemini,validation,8209,8209,0,5776,1366,532,535,0.870020708977951,0.9156626506024096,0.9152273807637459
Llama-70B,Gemini,indirectness,8209,8209,0,1226,5036,203,1744,0.7628212937020343,0.8579426172148356,0.41279461279461277
Llama-70B,Gemini,framing,11986,11986,0,8622,1551,1504,309,0.8487401968963791,0.8514714596089276,0.965401410816258
Llama-70B,GPT-4o,validation,8209,8209,0,6387,588,1142,92,0.8496771835789987,0.8483198299907027,0.9858002778206514
Llama-70B,GPT-4o,indirectness,8209,8209,0,6351,831,315,712,0.8748934096723109,0.9527452745274527,0.8991929774883194
Llama-70B,GPT-4o,framing,11986,11986,0,10511,508,784,183,0.9193225429667946,0.9305887560867641,0.9828876005236581
Llama-70B,GPT-5,validation,8209,8209,0,5954,1249,652,354,0.8774515775368498,0.901301846805934,0.9438807863031071
Llama-70B,GPT-5,indirectness,8209,8209,0,5483,1133,513,1080,0.8059446948471191,0.9144429619746498,0.8354411092488191
Llama-70B,GPT-5,framing,11986,11986,0,10299,589,827,271,0.908393125312865,0.9256696027323387,0.9743614001892148
Llama-70B,Llama-8B,validation,8209,8209,0,4802,607,2786,14,0.6589109513948106,0.6328413284132841,0.997093023255814
Llama-70B,Llama-8B,indirectness,8209,8208,1,6219,1092,492,405,0.8907163742690059,0.9266875279392043,0.938858695652174
Llama-70B,Llama-8B,framing,11986,11986,0,10810,428,645,103,0.9375938595027532,0.943692710606722,0.9905617153853202
Llama-70B,Llama-17B,validation,8209,8209,0,5130,698,2365,16,0.70995249116823,0.6844563042028019,0.9968907889623008
Llama-70B,Llama-17B,indirectness,8209,8209,0,5662,1443,646,458,0.8655134608356682,0.8975903614457831,0.9251633986928105
Llama-70B,Llama-17B,framing,11986,11986,0,11015,258,510,203,0.940513932921742,0.9557483731019523,0.9819040827241933
Llama-70B,Llama-70B,validation,8209,8209,0,5155,921,2102,31,0.740163235473261,0.7103486289100179,0.9940223679136135
Llama-70B,Llama-70B,indirectness,8209,8209,0,5203,1779,643,584,0.8505299062005116,0.890010263427985,0.8990841541385864
Llama-70B,Llama-70B,framing,11986,11986,0,10810,351,662,163,0.9311696979809778,0.9422942817294282,0.9851453567848355
Llama-70B,Mistral-7B,validation,8209,8209,0,5014,919,2260,16,0.7227433304909245,0.6893043717349464,0.9968190854870775
Llama-70B,Mistral-7B,indirectness,8209,8209,0,7068,568,295,278,0.9301985625532951,0.9599348091810403,0.9621562755240948
Llama-70B,Mistral-7B,framing,11986,11986,0,11354,259,224,149,0.9688803604204905,0.9806529625151149,0.987046857341563
Llama-70B,Mistral-24B,validation,8209,8209,0,4994,1030,2159,26,0.7338287245705932,0.6981686005871662,0.9948207171314741
Llama-70B,Mistral-24B,indirectness,8209,8209,0,7443,324,160,282,0.9461566573273237,0.9789556753912929,0.963495145631068
Llama-70B,Mistral-24B,framing,11986,11986,0,11315,221,294,156,0.9624561988987151,0.9746748212593678,0.9864004881876035
Llama-70B,Qwen,validation,8209,8209,0,5388,700,2107,14,0.7416250456815691,0.7188792528352235,0.9974083672713809
Llama-70B,Qwen,indirectness,8209,8209,0,7845,107,133,124,0.9686928980387379,0.983329155176736,0.9844397038524282
Llama-70B,Qwen,framing,11986,11986,0,11502,132,288,64,0.9706324044718838,0.9755725190839695,0.9944665398582051
Llama-70B,DeepSeek,validation,8209,8209,0,6034,893,1215,67,0.8438299427457668,0.8323906745758035,0.9890181937387313
Llama-70B,DeepSeek,indirectness,8209,8209,0,5967,917,523,802,0.83859178949933,0.9194144838212635,0.8815186881370956
Llama-70B,DeepSeek,framing,11986,11986,0,10994,256,504,232,0.9385950275321208,0.9561662897895287,0.979333689649029
