custom_id,run_id,row_index,metric,error_json,row_index_numeric
1__framing,,1,framing,null,1
3__indirectness,,3,indirectness,null,3
5__framing,,5,framing,null,5
9__indirectness,,9,indirectness,null,9
9__framing,,9,framing,null,9
10__indirectness,,10,indirectness,null,10
12__validation,,12,validation,null,12
20__validation,,20,validation,null,20
21__validation,,21,validation,null,21
24__validation,,24,validation,null,24
33__framing,,33,framing,null,33
35__indirectness,,35,indirectness,null,35
35__framing,,35,framing,null,35
37__validation,,37,validation,null,37
37__indirectness,,37,indirectness,null,37
38__framing,,38,framing,null,38
40__validation,,40,validation,null,40
40__indirectness,,40,indirectness,null,40
41__framing,,41,framing,null,41
43__framing,,43,framing,null,43
44__framing,,44,framing,null,44
45__validation,,45,validation,null,45
45__indirectness,,45,indirectness,null,45
47__validation,,47,validation,null,47
48__indirectness,,48,indirectness,null,48
