comparison_label,metric,file_a,file_b,file_a_path,file_b_path,score_column_a,score_column_b,temperature_a,temperature_b,seed_a,seed_b,judge_temperature_a,judge_temperature_b,judge_seed_a,judge_seed_b,rows_file_a,rows_file_b,paired_valid_rows,mean_a,mean_b,mean_difference_b_minus_a,agreement_count,agreement_rate,discordant_count,a0_b1_count,a1_b0_count,mcnemar_exact_binomial_p_value,alpha,is_significant_at_alpha_0_05,significance_interpretation,tost_equivalence_margin,tost_lower_bound,tost_upper_bound,tost_lower_p_value,tost_upper_p_value,tost_p_value,is_equivalent_at_alpha_0_05,equivalence_interpretation
q4_vs_full_results_llama8b,validation,llama3_q4_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,validation_llama3_8b_q4_scored,validation_Llama-8B,0,,123,,0,,123,,200,200,197,0.3654822335,0.6243654822,0.2588832487,118,0.5989847716,79,65,14,5.19E-09,0.05,TRUE,"Significant at alpha=0.05: among discordant paired rows, AITA-YTA_sample_200_with_full_results copy.csv scores higher than llama3_q4_scored.csv for validation more often than expected by chance.",0.05,-0.05,0.05,1.20E-12,0.9999995194,0.9999995194,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
q4_vs_full_results_llama8b,indirectness,llama3_q4_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,indirectness_llama3_8b_q4_scored,indirectness_Llama-8B,0,,123,,0,,123,,200,200,193,0.725388601,0.8031088083,0.07772020725,140,0.725388601,53,34,19,0.05343881054,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that AITA-YTA_sample_200_with_full_results copy.csv and llama3_q4_scored.csv differ for indirectness.,0.05,-0.05,0.05,0.0003892189542,0.7702519029,0.7702519029,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for indirectness was not statistically shown to be inside the practical equivalence range.
q4_vs_full_results_llama8b,framing,llama3_q4_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,framing_llama3_8b_q4_scored,framing_Llama-8B,0,,123,,0,,123,,200,200,160,0.8875,0.8375,-0.05,134,0.8375,26,9,17,0.1686375439,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that AITA-YTA_sample_200_with_full_results copy.csv and llama3_q4_scored.csv differ for framing.,0.05,-0.05,0.05,0.5,0.0009680229881,0.5,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for framing was not statistically shown to be inside the practical equivalence range.
q8_vs_full_results_llama8b,validation,llama3_q8_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,validation_llama3_8b_q8_scored,validation_Llama-8B,0,,123,,0,,123,,200,200,197,0.3705583756,0.6243654822,0.2538071066,123,0.6243654822,74,62,12,2.86E-09,0.05,TRUE,"Significant at alpha=0.05: among discordant paired rows, AITA-YTA_sample_200_with_full_results copy.csv scores higher than llama3_q8_scored.csv for validation more often than expected by chance.",0.05,-0.05,0.05,5.17E-13,0.9999996272,0.9999996272,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
q8_vs_full_results_llama8b,indirectness,llama3_q8_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,indirectness_llama3_8b_q8_scored,indirectness_Llama-8B,0,,123,,0,,123,,200,200,193,0.8549222798,0.8031088083,-0.0518134715,157,0.8134715026,36,13,23,0.132498164,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that AITA-YTA_sample_200_with_full_results copy.csv and llama3_q8_scored.csv differ for indirectness.,0.05,-0.05,0.05,0.5233362745,0.0005954527211,0.5233362745,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for indirectness was not statistically shown to be inside the practical equivalence range.
q8_vs_full_results_llama8b,framing,llama3_q8_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,framing_llama3_8b_q8_scored,framing_Llama-8B,0,,123,,0,,123,,200,200,160,0.9,0.8375,-0.0625,136,0.85,24,7,17,0.06391465664,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that AITA-YTA_sample_200_with_full_results copy.csv and llama3_q8_scored.csv differ for framing.,0.05,-0.05,0.05,0.6596901226,0.0001423194864,0.6596901226,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for framing was not statistically shown to be inside the practical equivalence range.
q4_paper_parameters_vs_full_results_llama8b,validation,llama3_q4_paper_parameters_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,validation_llama3_8b_q4_scored,validation_Llama-8B,0.6,,123,,0,,123,,200,200,197,0.4010152284,0.6243654822,0.2233502538,125,0.6345177665,72,58,14,1.65E-07,0.05,TRUE,"Significant at alpha=0.05: among discordant paired rows, AITA-YTA_sample_200_with_full_results copy.csv scores higher than llama3_q4_paper_parameters_scored.csv for validation more often than expected by chance.",0.05,-0.05,0.05,5.76E-11,0.9999876122,0.9999876122,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
q4_paper_parameters_vs_full_results_llama8b,indirectness,llama3_q4_paper_parameters_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,indirectness_llama3_8b_q4_scored,indirectness_Llama-8B,0.6,,123,,0,,123,,200,200,193,0.7305699482,0.8031088083,0.0725388601,149,0.7720207254,44,29,15,0.0487667659,0.05,TRUE,"Significant at alpha=0.05: among discordant paired rows, AITA-YTA_sample_200_with_full_results copy.csv scores higher than llama3_q4_paper_parameters_scored.csv for indirectness more often than expected by chance.",0.05,-0.05,0.05,0.0002040563168,0.7455431926,0.7455431926,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for indirectness was not statistically shown to be inside the practical equivalence range.
q4_paper_parameters_vs_full_results_llama8b,framing,llama3_q4_paper_parameters_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,framing_llama3_8b_q4_scored,framing_Llama-8B,0.6,,123,,0,,123,,200,200,160,0.9,0.8375,-0.0625,132,0.825,28,9,19,0.0871585533,0.05,FALSE,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that AITA-YTA_sample_200_with_full_results copy.csv and llama3_q4_paper_parameters_scored.csv differ for framing.,0.05,-0.05,0.05,0.6481656931,0.0003851343996,0.6481656931,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for framing was not statistically shown to be inside the practical equivalence range.
q8_paper_parameters_vs_full_results_llama8b,validation,llama3_q8_paper_parameters_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,validation_llama3_8b_q8_scored,validation_Llama-8B,0.6,,123,,0,,123,,200,200,197,0.4010152284,0.6243654822,0.2233502538,129,0.654822335,68,56,12,6.21E-08,0.05,TRUE,"Significant at alpha=0.05: among discordant paired rows, AITA-YTA_sample_200_with_full_results copy.csv scores higher than llama3_q8_paper_parameters_scored.csv for validation more often than expected by chance.",0.05,-0.05,0.05,1.56E-11,0.9999932798,0.9999932798,FALSE,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
