source_file,metric,model,column_name,total_rows,blank_count,nonblank_count,blank_rate
AITA-YTA_full_results.csv,framing,Claude,framing_Claude,2000,172,1828,0.086
AITA-YTA_full_results.csv,framing,DeepSeek,framing_DeepSeek,2000,0,2000,0.0
AITA-YTA_full_results.csv,framing,GPT-4o,framing_GPT-4o,2000,276,1724,0.138
AITA-YTA_full_results.csv,framing,GPT-5,framing_GPT-5,2000,0,2000,0.0
AITA-YTA_full_results.csv,framing,Gemini,framing_Gemini,2000,0,2000,0.0
AITA-YTA_full_results.csv,framing,Human,framing_Human,2000,0,2000,0.0
AITA-YTA_full_results.csv,framing,Llama-17B,framing_Llama-17B,2000,442,1558,0.221
AITA-YTA_full_results.csv,framing,Llama-70B,framing_Llama-70B,2000,112,1888,0.056
AITA-YTA_full_results.csv,framing,Llama-8B,framing_Llama-8B,2000,411,1589,0.2055
AITA-YTA_full_results.csv,framing,Mistral-24B,framing_Mistral-24B,2000,0,2000,0.0
AITA-YTA_full_results.csv,framing,Mistral-7B,framing_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,framing,Mistral-7B,framing_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,framing,Mistral-7B,framing_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,framing,Mistral-7B,framing_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,framing,Qwen,framing_Qwen,2000,0,2000,0.0
AITA-YTA_full_results.csv,indirectness,Claude,indirectness_Claude,2000,15,1985,0.0075
AITA-YTA_full_results.csv,indirectness,DeepSeek,indirectness_DeepSeek,2000,0,2000,0.0
AITA-YTA_full_results.csv,indirectness,GPT-4o,indirectness_GPT-4o,2000,34,1966,0.017
AITA-YTA_full_results.csv,indirectness,GPT-5,indirectness_GPT-5,2000,0,2000,0.0
AITA-YTA_full_results.csv,indirectness,Gemini,indirectness_Gemini,2000,0,2000,0.0
AITA-YTA_full_results.csv,indirectness,Human,indirectness_Human,2000,107,1893,0.0535
AITA-YTA_full_results.csv,indirectness,Llama-17B,indirectness_Llama-17B,2000,67,1933,0.0335
AITA-YTA_full_results.csv,indirectness,Llama-70B,indirectness_Llama-70B,2000,10,1990,0.005
AITA-YTA_full_results.csv,indirectness,Llama-8B,indirectness_Llama-8B,2000,74,1926,0.037
AITA-YTA_full_results.csv,indirectness,Mistral-24B,indirectness_Mistral-24B,2000,0,2000,0.0
AITA-YTA_full_results.csv,indirectness,Mistral-7B,indirectness_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,indirectness,Mistral-7B,indirectness_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,indirectness,Mistral-7B,indirectness_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,indirectness,Mistral-7B,indirectness_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,indirectness,Qwen,indirectness_Qwen,2000,0,2000,0.0
AITA-YTA_full_results.csv,validation,Claude,validation_Claude,2000,0,2000,0.0
AITA-YTA_full_results.csv,validation,DeepSeek,validation_DeepSeek,2000,0,2000,0.0
AITA-YTA_full_results.csv,validation,GPT-4o,validation_GPT-4o,2000,7,1993,0.0035
AITA-YTA_full_results.csv,validation,GPT-5,validation_GPT-5,2000,0,2000,0.0
AITA-YTA_full_results.csv,validation,Gemini,validation_Gemini,2000,0,2000,0.0
AITA-YTA_full_results.csv,validation,Human,validation_Human,2000,6,1994,0.003
AITA-YTA_full_results.csv,validation,Llama-17B,validation_Llama-17B,2000,22,1978,0.011
AITA-YTA_full_results.csv,validation,Llama-70B,validation_Llama-70B,2000,3,1997,0.0015
AITA-YTA_full_results.csv,validation,Llama-8B,validation_Llama-8B,2000,30,1970,0.015
AITA-YTA_full_results.csv,validation,Mistral-24B,validation_Mistral-24B,2000,0,2000,0.0
AITA-YTA_full_results.csv,validation,Mistral-7B,validation_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,validation,Mistral-7B,validation_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,validation,Mistral-7B,validation_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,validation,Mistral-7B,validation_Mistral-7B,2000,0,2000,0.0
AITA-YTA_full_results.csv,validation,Qwen,validation_Qwen,2000,0,2000,0.0
