comparison_label,metric,file_a,file_b,file_a_path,file_b_path,score_column_a,score_column_b,temperature_a,temperature_b,seed_a,seed_b,judge_temperature_a,judge_temperature_b,judge_seed_a,judge_seed_b,rows_file_a,rows_file_b,paired_valid_rows,mean_a,mean_b,mean_difference_b_minus_a,agreement_count,agreement_rate,discordant_count,a0_b1_count,a1_b0_count,mcnemar_exact_binomial_p_value,alpha,is_significant_at_alpha_0_05,significance_interpretation,tost_equivalence_margin,tost_lower_bound,tost_upper_bound,tost_lower_p_value,tost_upper_p_value,tost_p_value,is_equivalent_at_alpha_0_05,equivalence_interpretation
q4_vs_full_results_llama8b,validation,llama3_q4_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,validation_llama3_8b_q4_scored,validation_Llama-8B,0.0,,123,,0.0,,123,,200,200,197,0.36548223350253806,0.6243654822335025,0.25888324873096447,118,0.5989847715736041,79,65,14,5.194941262584353e-09,0.05,True,"Significant at alpha=0.05: among discordant paired rows, AITA-YTA_sample_200_with_full_results copy.csv scores higher than llama3_q4_scored.csv for validation more often than expected by chance.",0.05,-0.05,0.05,1.1998947061319114e-12,0.9999995194473128,0.9999995194473128,False,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
q4_vs_full_results_llama8b,indirectness,llama3_q4_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,indirectness_llama3_8b_q4_scored,indirectness_Llama-8B,0.0,,123,,0.0,,123,,200,200,193,0.7253886010362695,0.8031088082901554,0.07772020725388595,140,0.7253886010362695,53,34,19,0.053438810537711046,0.05,False,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that AITA-YTA_sample_200_with_full_results copy.csv and llama3_q4_scored.csv differ for indirectness.,0.05,-0.05,0.05,0.0003892189541647527,0.7702519029407944,0.7702519029407944,False,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for indirectness was not statistically shown to be inside the practical equivalence range.
q4_vs_full_results_llama8b,framing,llama3_q4_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,framing_llama3_8b_q4_scored,framing_Llama-8B,0.0,,123,,0.0,,123,,200,200,160,0.8875,0.8375,-0.04999999999999993,134,0.8375,26,9,17,0.16863754391670227,0.05,False,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that AITA-YTA_sample_200_with_full_results copy.csv and llama3_q4_scored.csv differ for framing.,0.05,-0.05,0.05,0.5,0.0009680229881339328,0.5,False,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for framing was not statistically shown to be inside the practical equivalence range.
q8_vs_full_results_llama8b,validation,llama3_q8_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,validation_llama3_8b_q8_scored,validation_Llama-8B,0.0,,123,,0.0,,123,,200,200,197,0.37055837563451777,0.6243654822335025,0.25380710659898476,123,0.6243654822335025,74,62,12,2.8555486161534813e-09,0.05,True,"Significant at alpha=0.05: among discordant paired rows, AITA-YTA_sample_200_with_full_results copy.csv scores higher than llama3_q8_scored.csv for validation more often than expected by chance.",0.05,-0.05,0.05,5.167869458918407e-13,0.9999996271565245,0.9999996271565245,False,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
q8_vs_full_results_llama8b,indirectness,llama3_q8_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,indirectness_llama3_8b_q8_scored,indirectness_Llama-8B,0.0,,123,,0.0,,123,,200,200,193,0.8549222797927462,0.8031088082901554,-0.05181347150259075,157,0.8134715025906736,36,13,23,0.13249816396273675,0.05,False,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that AITA-YTA_sample_200_with_full_results copy.csv and llama3_q8_scored.csv differ for indirectness.,0.05,-0.05,0.05,0.5233362744929053,0.000595452721067798,0.5233362744929053,False,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for indirectness was not statistically shown to be inside the practical equivalence range.
q8_vs_full_results_llama8b,framing,llama3_q8_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,framing_llama3_8b_q8_scored,framing_Llama-8B,0.0,,123,,0.0,,123,,200,200,160,0.9,0.8375,-0.0625,136,0.85,24,7,17,0.06391465663909912,0.05,False,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that AITA-YTA_sample_200_with_full_results copy.csv and llama3_q8_scored.csv differ for framing.,0.05,-0.05,0.05,0.6596901225599645,0.00014231948635833456,0.6596901225599645,False,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for framing was not statistically shown to be inside the practical equivalence range.
q4_paper_parameters_vs_full_results_llama8b,validation,llama3_q4_paper_parameters_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,validation_llama3_8b_q4_scored,validation_Llama-8B,0.6,,123,,0.0,,123,,200,200,197,0.4010152284263959,0.6243654822335025,0.2233502538071066,125,0.6345177664974619,72,58,14,1.6464300115968573e-07,0.05,True,"Significant at alpha=0.05: among discordant paired rows, AITA-YTA_sample_200_with_full_results copy.csv scores higher than llama3_q4_paper_parameters_scored.csv for validation more often than expected by chance.",0.05,-0.05,0.05,5.760556252929125e-11,0.9999876121837716,0.9999876121837716,False,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
q4_paper_parameters_vs_full_results_llama8b,indirectness,llama3_q4_paper_parameters_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,indirectness_llama3_8b_q4_scored,indirectness_Llama-8B,0.6,,123,,0.0,,123,,200,200,193,0.7305699481865285,0.8031088082901554,0.07253886010362687,149,0.772020725388601,44,29,15,0.048766765904474596,0.05,True,"Significant at alpha=0.05: among discordant paired rows, AITA-YTA_sample_200_with_full_results copy.csv scores higher than llama3_q4_paper_parameters_scored.csv for indirectness more often than expected by chance.",0.05,-0.05,0.05,0.0002040563168112909,0.7455431926456263,0.7455431926456263,False,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for indirectness was not statistically shown to be inside the practical equivalence range.
q4_paper_parameters_vs_full_results_llama8b,framing,llama3_q4_paper_parameters_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q4_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,framing_llama3_8b_q4_scored,framing_Llama-8B,0.6,,123,,0.0,,123,,200,200,160,0.9,0.8375,-0.0625,132,0.825,28,9,19,0.08715855330228806,0.05,False,Not significant at alpha=0.05: the discordant paired rows do not provide enough evidence that AITA-YTA_sample_200_with_full_results copy.csv and llama3_q4_paper_parameters_scored.csv differ for framing.,0.05,-0.05,0.05,0.6481656931326667,0.0003851343996228429,0.6481656931326667,False,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for framing was not statistically shown to be inside the practical equivalence range.
q8_paper_parameters_vs_full_results_llama8b,validation,llama3_q8_paper_parameters_scored.csv,AITA-YTA_sample_200_with_full_results copy.csv,elephant/Llama_quantization_experiment/outputs/llama3_q8_paper_parameters_scored.csv,elephant/Llama_quantization_experiment/AITA-YTA_sample_200_with_full_results copy.csv,validation_llama3_8b_q8_scored,validation_Llama-8B,0.6,,123,,0.0,,123,,200,200,197,0.4010152284263959,0.6243654822335025,0.2233502538071066,129,0.6548223350253807,68,56,12,6.209495737562187e-08,0.05,True,"Significant at alpha=0.05: among discordant paired rows, AITA-YTA_sample_200_with_full_results copy.csv scores higher than llama3_q8_paper_parameters_scored.csv for validation more often than expected by chance.",0.05,-0.05,0.05,1.5589177188943327e-11,0.9999932798455621,0.9999932798455621,False,Not equivalent at alpha=0.05 with margin +/-0.05: the paired mean difference for validation was not statistically shown to be inside the practical equivalence range.
