model,metric,mean,ci,col,model,Againist human
Human,framing,0.829043,0.018964,framing_Human,Human,"Human | framing       Δ=0.00% ± 2.68% [-2.68%, 2.68%]"
Human,indirectness,0.097656,0.01485,indirectness_Human,Human,"Human | indirectness  Δ=0.00% ± 2.10% [-2.10%, 2.10%]"
Human,validation,0.250158,0.021342,validation_Human,Human,"Human | validation    Δ=0.00% ± 3.02% [-3.02%, 3.02%]"
Claude,framing,0.816011,0.020132,framing_Claude,Claude,"Claude | framing       Δ=-1.30% ± 2.77% [-4.07%, 1.46%]"
Claude,indirectness,0.437065,0.024458,indirectness_Claude,Claude,"Claude | indirectness  Δ=33.94% ± 2.86% [31.08%, 36.80%]"
Claude,validation,0.517632,0.024585,validation_Claude,Claude,"Claude | validation    Δ=26.75% ± 3.26% [23.49%, 30.00%]"
Gemini,framing,0.728047,0.022333,framing_Gemini,Gemini,"Gemini | framing       Δ=-10.10% ± 2.93% [-13.03%, -7.17%]"
Gemini,indirectness,0.147727,0.01748,indirectness_Gemini,Gemini,"Gemini | indirectness  Δ=5.01% ± 2.29% [2.71%, 7.30%]"
Gemini,validation,0.67819,0.022963,validation_Gemini,Gemini,"Gemini | validation    Δ=42.80% ± 3.13% [39.67%, 45.94%]"
GPT-4o,framing,0.94808,0.011601,framing_GPT-4o,GPT-4o,"GPT-4o | framing       Δ=11.90% ± 2.22% [9.68%, 14.13%]"
GPT-4o,indirectness,0.896263,0.015175,indirectness_GPT-4o,GPT-4o,"GPT-4o | indirectness  Δ=79.86% ± 2.12% [77.74%, 81.98%]"
GPT-4o,validation,0.90347,0.014543,validation_GPT-4o,GPT-4o,"GPT-4o | validation    Δ=65.33% ± 2.58% [62.75%, 67.91%]"
GPT-5,framing,0.973316,0.007964,framing_GPT-5,GPT-5,"GPT-5 | framing       Δ=14.43% ± 2.06% [12.37%, 16.48%]"
GPT-5,indirectness,0.291012,0.022327,indirectness_GPT-5,GPT-5,"GPT-5 | indirectness  Δ=19.34% ± 2.68% [16.65%, 22.02%]"
GPT-5,validation,0.542191,0.024512,validation_GPT-5,GPT-5,"GPT-5 | validation    Δ=29.20% ± 3.25% [25.95%, 32.45%]"
Llama-8B,framing,0.90881,0.015692,framing_Llama-8B,Llama-8B,"Llama-8B | framing       Δ=7.98% ± 2.46% [5.52%, 10.44%]"
Llama-8B,indirectness,0.694971,0.023071,indirectness_Llama-8B,Llama-8B,"Llama-8B | indirectness  Δ=59.73% ± 2.74% [56.99%, 62.48%]"
Llama-8B,validation,0.732063,0.02188,validation_Llama-8B,Llama-8B,"Llama-8B | validation    Δ=48.19% ± 3.06% [45.13%, 51.25%]"
Llama-17B,framing,0.915157,0.015681,framing_Llama-17B,Llama-17B,"Llama-17B | framing       Δ=8.61% ± 2.46% [6.15%, 11.07%]"
Llama-17B,indirectness,0.611436,0.02436,indirectness_Llama-17B,Llama-17B,"Llama-17B | indirectness  Δ=51.38% ± 2.85% [48.52%, 54.23%]"
Llama-17B,validation,0.736576,0.021706,validation_Llama-17B,Llama-17B,"Llama-17B | validation    Δ=48.64% ± 3.04% [45.60%, 51.69%]"
Llama-70B,framing,0.942231,0.011787,framing_Llama-70B,Llama-70B,"Llama-70B | framing       Δ=11.32% ± 2.23% [9.09%, 13.55%]"
Llama-70B,indirectness,0.303662,0.022653,indirectness_Llama-70B,Llama-70B,"Llama-70B | indirectness  Δ=20.60% ± 2.71% [17.89%, 23.31%]"
Llama-70B,validation,0.65932,0.023318,validation_Llama-70B,Llama-70B,"Llama-70B | validation    Δ=40.92% ± 3.16% [37.76%, 44.08%]"
Mistral-7B,framing,0.989931,0.004911,framing_Mistral-7B,Mistral-7B,"Mistral-7B | framing       Δ=16.09% ± 1.96% [14.13%, 18.05%]"
Mistral-7B,indirectness,0.604651,0.024033,indirectness_Mistral-7B,Mistral-7B,"Mistral-7B | indirectness  Δ=50.70% ± 2.83% [47.87%, 53.52%]"
Mistral-7B,validation,0.814349,0.019124,validation_Mistral-7B,Mistral-7B,"Mistral-7B | validation    Δ=56.42% ± 2.87% [53.55%, 59.28%]"
Mistral-24B,framing,0.952926,0.010473,framing_Mistral-24B,Mistral-24B,"Mistral-24B | framing       Δ=12.39% ± 2.17% [10.22%, 14.55%]"
Mistral-24B,indirectness,0.751572,0.021246,indirectness_Mistral-24B,Mistral-24B,"Mistral-24B | indirectness  Δ=65.39% ± 2.59% [62.80%, 67.98%]"
Mistral-24B,validation,0.594084,0.024153,validation_Mistral-24B,Mistral-24B,"Mistral-24B | validation    Δ=34.39% ± 3.22% [31.17%, 37.62%]"
Qwen,framing,0.984868,0.00601,framing_Qwen,Qwen,"Qwen | framing       Δ=15.58% ± 1.99% [13.59%, 17.57%]"
Qwen,indirectness,0.893082,0.015194,indirectness_Qwen,Qwen,"Qwen | indirectness  Δ=79.54% ± 2.12% [77.42%, 81.67%]"
Qwen,validation,0.872407,0.016399,validation_Qwen,Qwen,"Qwen | validation    Δ=62.22% ± 2.69% [59.53%, 64.92%]"
DeepSeek,framing,0.974603,0.007772,framing_DeepSeek,DeepSeek,"DeepSeek | framing       Δ=14.56% ± 2.05% [12.51%, 16.61%]"
DeepSeek,indirectness,0.199497,0.019655,indirectness_DeepSeek,DeepSeek,"DeepSeek | indirectness  Δ=10.18% ± 2.46% [7.72%, 12.65%]"
DeepSeek,validation,0.597737,0.024103,validation_DeepSeek,DeepSeek,"DeepSeek | validation    Δ=34.76% ± 3.22% [31.54%, 37.98%]"
