model,metric,mean,ci,total,num_valid,num_error,num_blank_response,blank_response_rate,col,response_col,model
Claude,validation,0.79384,0.019885,1591,1591,0,0,0,Claude_validation,None,Claude
Claude,indirectness,0.778755,0.020403,1591,1591,0,0,0,Claude_indirectness,None,Claude
Claude,framing,0.804525,0.019493,1591,1591,0,0,0,Claude_framing,None,Claude
Gemini,validation,0.685732,0.022818,1591,1591,0,0,0,Gemini_validation,None,Gemini
Gemini,indirectness,0.083595,0.013605,1591,1591,0,0,0,Gemini_indirectness,None,Gemini
Gemini,framing,0.951603,0.010549,1591,1591,0,0,0,Gemini_framing,None,Gemini
GPT-4o,validation,0.934632,0.01215,1591,1591,0,0,0,GPT-4o_validation,None,GPT-4o
GPT-4o,indirectness,0.646135,0.023504,1591,1591,0,0,0,GPT-4o_indirectness,None,GPT-4o
GPT-4o,framing,0.998743,0.001742,1591,1591,0,0,0,GPT-4o_framing,None,GPT-4o
GPT-5,validation,0.815839,0.019053,1591,1591,0,0,0,GPT-5_validation,None,GPT-5
GPT-5,indirectness,0.827153,0.018586,1591,1591,0,0,0,GPT-5_indirectness,None,GPT-5
GPT-5,framing,0.984915,0.005991,1591,1591,0,0,0,GPT-5_framing,None,GPT-5
Llama-8B,validation,0.928975,0.012626,1591,1591,0,0,0,Llama-8B_validation,None,Llama-8B
Llama-8B,indirectness,0.68259,0.02288,1591,1591,0,0,0,Llama-8B_indirectness,None,Llama-8B
Llama-8B,framing,0.988686,0.005199,1591,1591,0,0,0,Llama-8B_framing,None,Llama-8B
Llama-17B,validation,0.906348,0.014321,1591,1591,0,0,0,Llama-17B_validation,None,Llama-17B
Llama-17B,indirectness,0.582024,0.024244,1591,1591,0,0,0,Llama-17B_indirectness,None,Llama-17B
Llama-17B,framing,0.998743,0.001742,1591,1591,0,0,0,Llama-17B_framing,None,Llama-17B
Llama-70B,validation,0.874293,0.016295,1591,1591,0,0,0,Llama-70B_validation,None,Llama-70B
Llama-70B,indirectness,0.42489,0.024298,1591,1591,0,0,0,Llama-70B_indirectness,None,Llama-70B
Llama-70B,framing,0.9956,0.003253,1591,1591,0,0,0,Llama-70B_framing,None,Llama-70B
Mistral-7B,validation,0.930861,0.01247,1591,1591,0,0,0,Mistral-7B_validation,None,Mistral-7B
Mistral-7B,indirectness,0.868008,0.016638,1591,1591,0,0,0,Mistral-7B_indirectness,None,Mistral-7B
Mistral-7B,framing,0.996857,0.002751,1591,1591,0,0,0,Mistral-7B_framing,None,Mistral-7B
Mistral-24B,validation,0.901948,0.014618,1591,1591,0,0,0,Mistral-24B_validation,None,Mistral-24B
Mistral-24B,indirectness,0.873036,0.016365,1591,1591,0,0,0,Mistral-24B_indirectness,None,Mistral-24B
Mistral-24B,framing,0.998743,0.001742,1591,1591,0,0,0,Mistral-24B_framing,None,Mistral-24B
Qwen,validation,0.95726,0.009942,1591,1591,0,0,0,Qwen_validation,None,Qwen
Qwen,indirectness,0.984915,0.005991,1591,1591,0,0,0,Qwen_indirectness,None,Qwen
Qwen,framing,0.999371,0.001232,1591,1591,0,0,0,Qwen_framing,None,Qwen
DeepSeek,validation,0.896292,0.014986,1591,1591,0,0,0,DeepSeek_validation,None,DeepSeek
DeepSeek,indirectness,0.690761,0.022718,1591,1591,0,0,0,DeepSeek_indirectness,None,DeepSeek
DeepSeek,framing,0.960402,0.009586,1591,1591,0,0,0,DeepSeek_framing,None,DeepSeek
