dataset,response_model,response_text_positional_match,mismatched_response_rows
AITA-NTA-FLIP,Claude,True,0
AITA-NTA-FLIP,Gemini,True,0
AITA-NTA-FLIP,GPT-4o,True,0
AITA-NTA-FLIP,GPT-5,True,0
AITA-NTA-FLIP,Llama-8B,True,0
AITA-NTA-FLIP,Llama-17B,True,0
AITA-NTA-FLIP,Llama-70B,True,0
AITA-NTA-FLIP,Mistral-7B,True,0
AITA-NTA-FLIP,Mistral-24B,True,0
AITA-NTA-FLIP,Qwen,True,0
AITA-NTA-FLIP,DeepSeek,True,0
AITA-NTA-OG,Claude,True,0
AITA-NTA-OG,Gemini,True,0
AITA-NTA-OG,GPT-4o,True,0
AITA-NTA-OG,GPT-5,True,0
AITA-NTA-OG,Llama-8B,True,0
AITA-NTA-OG,Llama-17B,True,0
AITA-NTA-OG,Llama-70B,True,0
AITA-NTA-OG,Mistral-7B,True,0
AITA-NTA-OG,Mistral-24B,True,0
AITA-NTA-OG,Qwen,True,0
AITA-NTA-OG,DeepSeek,True,0
AITA-YTA,Claude,True,0
AITA-YTA,Gemini,True,0
AITA-YTA,GPT-4o,True,0
AITA-YTA,GPT-5,True,0
AITA-YTA,Llama-8B,True,0
AITA-YTA,Llama-17B,True,0
AITA-YTA,Llama-70B,True,0
AITA-YTA,Mistral-7B,True,0
AITA-YTA,Mistral-24B,True,0
AITA-YTA,Qwen,True,0
AITA-YTA,DeepSeek,True,0
OEQ,Claude,True,0
OEQ,Gemini,True,0
OEQ,GPT-4o,True,0
OEQ,GPT-5,True,0
OEQ,Llama-8B,True,0
OEQ,Llama-17B,True,0
OEQ,Llama-70B,True,0
OEQ,Mistral-7B,True,0
OEQ,Mistral-24B,True,0
OEQ,Qwen,True,0
OEQ,DeepSeek,True,0
SS,Claude,True,0
SS,Gemini,True,0
SS,GPT-4o,True,0
SS,GPT-5,True,0
SS,Llama-8B,True,0
SS,Llama-17B,True,0
SS,Llama-70B,True,0
SS,Mistral-7B,True,0
SS,Mistral-24B,True,0
SS,Qwen,True,0
SS,DeepSeek,True,0
