alternate_judge,response_model,dataset,dimension,total_label_pairs,valid_paired_labels,excluded_label_pairs,TP,TN,FP,FN,agreement,precision,recall
Llama-70B,Claude,AITA-NTA-FLIP,validation,1591,1591,0,472,672,335,112,0.7190446260213702,0.5848822800495663,0.8082191780821918
Llama-70B,Claude,AITA-NTA-FLIP,indirectness,1591,1591,0,392,706,478,15,0.6901319924575738,0.45057471264367815,0.9631449631449631
Llama-70B,Claude,AITA-NTA-FLIP,framing,1591,1591,0,94,1371,80,46,0.9208045254556882,0.5402298850574713,0.6714285714285714
Llama-70B,Gemini,AITA-NTA-FLIP,validation,1591,1591,0,1160,256,52,123,0.8900062853551226,0.9570957095709571,0.9041309431021044
Llama-70B,Gemini,AITA-NTA-FLIP,indirectness,1591,1591,0,262,889,13,427,0.7234443746071653,0.9527272727272728,0.3802612481857765
Llama-70B,Gemini,AITA-NTA-FLIP,framing,1591,1591,0,859,414,246,72,0.8001257071024512,0.7773755656108597,0.9226638023630505
Llama-70B,GPT-4o,AITA-NTA-FLIP,validation,1591,1591,0,1330,112,134,15,0.9063482086737901,0.9084699453551912,0.9888475836431226
Llama-70B,GPT-4o,AITA-NTA-FLIP,indirectness,1591,1591,0,1327,131,37,96,0.9164047768698932,0.9728739002932552,0.932536893886156
Llama-70B,GPT-4o,AITA-NTA-FLIP,framing,1591,1591,0,1264,125,172,30,0.8730358265241986,0.8802228412256268,0.9768160741885626
Llama-70B,GPT-5,AITA-NTA-FLIP,validation,1591,1591,0,1279,157,118,37,0.9025769956002514,0.9155332856120257,0.9718844984802432
Llama-70B,GPT-5,AITA-NTA-FLIP,indirectness,1591,1591,0,1148,197,110,136,0.8453802639849152,0.9125596184419714,0.8940809968847352
Llama-70B,GPT-5,AITA-NTA-FLIP,framing,1591,1591,0,1148,182,179,82,0.8359522313010685,0.8651092690278824,0.9333333333333333
Llama-70B,Llama-8B,AITA-NTA-FLIP,validation,1591,1591,0,1125,66,398,2,0.748585795097423,0.7386736703873933,0.9982253771073647
Llama-70B,Llama-8B,AITA-NTA-FLIP,indirectness,1591,1591,0,1248,171,96,76,0.8918918918918919,0.9285714285714286,0.9425981873111783
Llama-70B,Llama-8B,AITA-NTA-FLIP,framing,1591,1591,0,1445,37,95,14,0.9314896291640478,0.9383116883116883,0.9904043865661412
Llama-70B,Llama-17B,AITA-NTA-FLIP,validation,1591,1591,0,1221,102,264,4,0.8315524827152734,0.8222222222222222,0.996734693877551
Llama-70B,Llama-17B,AITA-NTA-FLIP,indirectness,1591,1591,0,1101,298,130,62,0.8793211816467631,0.8943948009748173,0.9466895958727429
Llama-70B,Llama-17B,AITA-NTA-FLIP,framing,1591,1591,0,1466,27,94,4,0.9384035197988686,0.9397435897435897,0.9972789115646259
Llama-70B,Llama-70B,AITA-NTA-FLIP,validation,1591,1591,0,1230,122,230,9,0.8497800125707102,0.8424657534246576,0.9927360774818402
Llama-70B,Llama-70B,AITA-NTA-FLIP,indirectness,1591,1591,0,1126,243,126,96,0.8604651162790697,0.8993610223642172,0.9214402618657938
Llama-70B,Llama-70B,AITA-NTA-FLIP,framing,1591,1591,0,1418,54,111,8,0.9252042740414833,0.9274035317200785,0.9943899018232819
Llama-70B,Mistral-7B,AITA-NTA-FLIP,validation,1591,1591,0,1322,73,195,1,0.8768070395977373,0.8714568226763348,0.999244142101285
Llama-70B,Mistral-7B,AITA-NTA-FLIP,indirectness,1591,1591,0,1389,105,55,42,0.9390320553111251,0.9619113573407202,0.9706498951781971
Llama-70B,Mistral-7B,AITA-NTA-FLIP,framing,1591,1591,0,1526,12,47,6,0.9666876178504086,0.9701207883026065,0.9960835509138382
Llama-70B,Mistral-24B,AITA-NTA-FLIP,validation,1591,1591,0,1174,135,275,7,0.8227529855436833,0.8102139406487232,0.9940728196443692
Llama-70B,Mistral-24B,AITA-NTA-FLIP,indirectness,1591,1591,0,1457,56,34,44,0.9509742300439975,0.97719651240778,0.9706862091938707
Llama-70B,Mistral-24B,AITA-NTA-FLIP,framing,1591,1591,0,1482,27,69,13,0.9484600879949717,0.9555125725338491,0.991304347826087
Llama-70B,Qwen,AITA-NTA-FLIP,validation,1591,1591,0,1262,84,241,4,0.8460087994971716,0.8396540252827678,0.9968404423380727
Llama-70B,Qwen,AITA-NTA-FLIP,indirectness,1591,1591,0,1521,21,29,20,0.9692017598994344,0.9812903225806452,0.9870214146658014
Llama-70B,Qwen,AITA-NTA-FLIP,framing,1591,1591,0,1522,6,60,3,0.9604022627278441,0.9620733249051833,0.9980327868852459
Llama-70B,DeepSeek,AITA-NTA-FLIP,validation,1591,1591,0,1404,76,104,7,0.9302325581395349,0.9310344827586207,0.9950389794472005
Llama-70B,DeepSeek,AITA-NTA-FLIP,indirectness,1591,1591,0,1326,108,52,105,0.9013199245757385,0.9622641509433962,0.9266247379454927
Llama-70B,DeepSeek,AITA-NTA-FLIP,framing,1591,1591,0,1386,29,97,79,0.8893777498428661,0.9345920431557654,0.9460750853242321
Llama-70B,Claude,AITA-NTA-OG,validation,1591,1591,0,1016,239,247,89,0.7888120678818353,0.8044338875692795,0.9194570135746606
Llama-70B,Claude,AITA-NTA-OG,indirectness,1591,1591,0,609,335,630,17,0.5933375235700817,0.4915254237288136,0.9728434504792333
Llama-70B,Claude,AITA-NTA-OG,framing,1591,1591,0,995,273,285,38,0.7969830295411691,0.77734375,0.9632139399806389
Llama-70B,Gemini,AITA-NTA-OG,validation,1591,1591,0,979,344,112,156,0.8315524827152734,0.8973418881759854,0.8625550660792951
Llama-70B,Gemini,AITA-NTA-OG,indirectness,1591,1591,0,78,1311,55,147,0.8730358265241986,0.5864661654135338,0.3466666666666667
Llama-70B,Gemini,AITA-NTA-OG,framing,1591,1591,0,1356,58,158,19,0.8887492143306097,0.8956406869220608,0.9861818181818182
Llama-70B,GPT-4o,AITA-NTA-OG,validation,1591,1591,0,1276,72,211,32,0.8472658705216844,0.8581035642232683,0.9755351681957186
Llama-70B,GPT-4o,AITA-NTA-OG,indirectness,1591,1591,0,898,372,130,191,0.798240100565682,0.8735408560311284,0.8246097337006428
Llama-70B,GPT-4o,AITA-NTA-OG,framing,1591,1591,0,1544,1,45,1,0.9710873664362036,0.9716803020767778,0.9993527508090615
Llama-70B,GPT-5,AITA-NTA-OG,validation,1591,1591,0,1160,175,138,118,0.8390949088623507,0.8936825885978429,0.9076682316118936
Llama-70B,GPT-5,AITA-NTA-OG,indirectness,1591,1591,0,1106,162,210,113,0.7969830295411691,0.8404255319148937,0.9073010664479081
Llama-70B,GPT-5,AITA-NTA-OG,framing,1591,1591,0,1506,13,61,11,0.9547454431175362,0.9610721123165284,0.992748846407383
Llama-70B,Llama-8B,AITA-NTA-OG,validation,1591,1591,0,814,108,664,5,0.57950974230044,0.550744248985115,0.9938949938949939
Llama-70B,Llama-8B,AITA-NTA-OG,indirectness,1591,1591,0,940,425,146,80,0.857950974230044,0.8655616942909761,0.9215686274509803
Llama-70B,Llama-8B,AITA-NTA-OG,framing,1591,1591,0,1523,11,50,7,0.9641734758013828,0.9682136045772409,0.9954248366013072
Llama-70B,Llama-17B,AITA-NTA-OG,validation,1591,1591,0,951,146,491,3,0.6895034569453174,0.659500693481276,0.9968553459119497
Llama-70B,Llama-17B,AITA-NTA-OG,indirectness,1591,1591,0,702,568,224,97,0.798240100565682,0.7580993520518359,0.8785982478097623
Llama-70B,Llama-17B,AITA-NTA-OG,framing,1591,1591,0,1559,1,30,1,0.9805153991200503,0.9811202013845186,0.9993589743589744
Llama-70B,Llama-70B,AITA-NTA-OG,validation,1591,1591,0,958,190,433,10,0.721558768070396,0.6887131560028756,0.9896694214876033
Llama-70B,Llama-70B,AITA-NTA-OG,indirectness,1591,1591,0,476,791,200,124,0.7963544940289127,0.7041420118343196,0.7933333333333333
Llama-70B,Llama-70B,AITA-NTA-OG,framing,1591,1591,0,1548,3,36,4,0.9748585795097423,0.9772727272727273,0.9974226804123711
Llama-70B,Mistral-7B,AITA-NTA-OG,validation,1591,1591,0,944,106,537,4,0.6599622878692646,0.637407157326131,0.9957805907172996
Llama-70B,Mistral-7B,AITA-NTA-OG,indirectness,1591,1591,0,1285,159,96,51,0.907605279698303,0.9304851556842868,0.9618263473053892
Llama-70B,Mistral-7B,AITA-NTA-OG,framing,1591,1591,0,1577,1,9,4,0.9918290383406663,0.9943253467843631,0.9974699557242251
Llama-70B,Mistral-24B,AITA-NTA-OG,validation,1591,1591,0,998,148,437,8,0.7203016970458831,0.6954703832752613,0.9920477137176938
Llama-70B,Mistral-24B,AITA-NTA-OG,indirectness,1591,1591,0,1344,121,45,81,0.9208045254556882,0.9676025917926566,0.9431578947368421
Llama-70B,Mistral-24B,AITA-NTA-OG,framing,1591,1591,0,1574,0,15,2,0.9893148962916405,0.9905601006922593,0.998730964467005
Llama-70B,Qwen,AITA-NTA-OG,validation,1591,1591,0,1172,66,351,2,0.7781269641734758,0.7695338148391333,0.9982964224872232
Llama-70B,Qwen,AITA-NTA-OG,indirectness,1591,1591,0,1547,17,20,7,0.983029541169076,0.9872367581365666,0.9954954954954955
Llama-70B,Qwen,AITA-NTA-OG,framing,1591,1591,0,1552,0,38,1,0.9754871150219987,0.9761006289308176,0.9993560849967804
Llama-70B,DeepSeek,AITA-NTA-OG,validation,1591,1591,0,1242,138,184,27,0.8673790069138906,0.8709677419354839,0.9787234042553191
Llama-70B,DeepSeek,AITA-NTA-OG,indirectness,1591,1591,0,839,362,260,130,0.7548711502199874,0.7634212920837125,0.8658410732714138
Llama-70B,DeepSeek,AITA-NTA-OG,framing,1591,1591,0,1492,2,36,61,0.9390320553111251,0.9764397905759162,0.9607211848036059
Llama-70B,Claude,AITA-YTA,validation,2000,2000,0,1251,302,291,156,0.7765,0.811284046692607,0.8891257995735607
Llama-70B,Claude,AITA-YTA,indirectness,2000,2000,0,995,432,504,69,0.7135,0.6637758505670447,0.9351503759398496
Llama-70B,Claude,AITA-YTA,framing,2000,2000,0,855,783,222,140,0.819,0.7938718662952646,0.8592964824120602
Llama-70B,Gemini,AITA-YTA,validation,2000,2000,0,1220,406,164,210,0.813,0.8815028901734104,0.8531468531468531
Llama-70B,Gemini,AITA-YTA,indirectness,2000,2000,0,367,1043,76,514,0.705,0.8284424379232506,0.41657207718501704
Llama-70B,Gemini,AITA-YTA,framing,2000,2000,0,1341,334,237,88,0.8375,0.8498098859315589,0.9384184744576627
Llama-70B,GPT-4o,AITA-YTA,validation,2000,2000,0,1489,120,351,40,0.8045,0.8092391304347826,0.973839110529758
Llama-70B,GPT-4o,AITA-YTA,indirectness,2000,2000,0,1644,140,63,153,0.892,0.9630931458699473,0.9148580968280468
Llama-70B,GPT-4o,AITA-YTA,framing,2000,2000,0,1692,92,170,46,0.892,0.9087003222341569,0.9735327963176065
Llama-70B,GPT-5,AITA-YTA,validation,2000,2000,0,1529,200,171,100,0.8645,0.8994117647058824,0.9386126457949663
Llama-70B,GPT-5,AITA-YTA,indirectness,2000,2000,0,1716,88,81,115,0.902,0.9549248747913188,0.937192790824686
Llama-70B,GPT-5,AITA-YTA,framing,2000,2000,0,1613,146,152,89,0.8795,0.9138810198300283,0.9477085781433607
Llama-70B,Llama-8B,AITA-YTA,validation,2000,2000,0,805,176,1013,6,0.4905,0.4427942794279428,0.9926017262638718
Llama-70B,Llama-8B,AITA-YTA,indirectness,2000,2000,0,1487,291,131,91,0.889,0.919035846724351,0.9423320659062104
Llama-70B,Llama-8B,AITA-YTA,framing,2000,2000,0,1789,61,124,26,0.925,0.9351803450078411,0.9856749311294766
Llama-70B,Llama-17B,AITA-YTA,validation,2000,2000,0,926,194,876,4,0.56,0.5138734739178691,0.9956989247311828
Llama-70B,Llama-17B,AITA-YTA,indirectness,2000,2000,0,1291,374,210,125,0.8325,0.860093271152565,0.911723163841808
Llama-70B,Llama-17B,AITA-YTA,framing,2000,2000,0,1841,26,72,61,0.9335,0.9623627809722948,0.9679284963196635
Llama-70B,Llama-70B,AITA-YTA,validation,2000,2000,0,1020,287,681,12,0.6535,0.599647266313933,0.9883720930232558
Llama-70B,Llama-70B,AITA-YTA,indirectness,2000,2000,0,1059,548,206,187,0.8035,0.8371541501976285,0.8499197431781701
Llama-70B,Llama-70B,AITA-YTA,framing,2000,2000,0,1811,50,108,31,0.9305,0.9437206878582595,0.9831704668838219
Llama-70B,Mistral-7B,AITA-YTA,validation,2000,2000,0,1090,170,735,5,0.63,0.5972602739726027,0.9954337899543378
Llama-70B,Mistral-7B,AITA-YTA,indirectness,2000,2000,0,1731,153,71,45,0.942,0.9605993340732519,0.9746621621621622
Llama-70B,Mistral-7B,AITA-YTA,framing,2000,2000,0,1928,20,43,9,0.974,0.9781836631151699,0.9953536396489416
Llama-70B,Mistral-24B,AITA-YTA,validation,2000,2000,0,1127,258,607,8,0.6925,0.6499423298731257,0.9929515418502203
Llama-70B,Mistral-24B,AITA-YTA,indirectness,2000,2000,0,1836,81,37,46,0.9585,0.9802455953016551,0.975557917109458
Llama-70B,Mistral-24B,AITA-YTA,framing,2000,2000,0,1885,22,67,26,0.9535,0.9656762295081968,0.9863945578231292
Llama-70B,Qwen,AITA-YTA,validation,2000,2000,0,1341,114,540,5,0.7275,0.7129186602870813,0.9962852897473997
Llama-70B,Qwen,AITA-YTA,indirectness,2000,2000,0,1943,15,15,27,0.979,0.9923391215526047,0.9862944162436548
Llama-70B,Qwen,AITA-YTA,framing,2000,2000,0,1902,11,86,1,0.9565,0.9567404426559356,0.999474513925381
Llama-70B,DeepSeek,AITA-YTA,validation,2000,2000,0,1362,254,355,29,0.808,0.7932440302853815,0.9791516894320632
Llama-70B,DeepSeek,AITA-YTA,indirectness,2000,2000,0,1518,174,120,188,0.846,0.9267399267399268,0.8898007033997656
Llama-70B,DeepSeek,AITA-YTA,framing,2000,2000,0,1759,35,192,14,0.897,0.9015889287544849,0.9921037789058094
Llama-70B,Claude,OEQ,validation,3027,3027,0,1964,503,540,20,0.8149983481995375,0.7843450479233227,0.9899193548387096
Llama-70B,Claude,OEQ,indirectness,3027,3027,0,1759,401,794,73,0.7135777998017839,0.6889933411672542,0.9601528384279476
Llama-70B,Claude,OEQ,framing,3027,3027,0,1846,722,366,93,0.848364717542121,0.8345388788426763,0.9520371325425477
Llama-70B,Gemini,OEQ,validation,3027,3027,0,2417,360,204,46,0.9174099768747935,0.9221671117893934,0.9813235891189607
Llama-70B,Gemini,OEQ,indirectness,3027,3027,0,519,1793,59,656,0.7637925338619095,0.8979238754325259,0.44170212765957445
Llama-70B,Gemini,OEQ,framing,3027,3027,0,2287,293,393,54,0.8523290386521308,0.8533582089552239,0.9769329346433149
Llama-70B,GPT-4o,OEQ,validation,3027,3027,0,2292,284,446,5,0.8510075982821275,0.8371073776479182,0.9978232477144101
Llama-70B,GPT-4o,OEQ,indirectness,3027,3027,0,2482,188,85,272,0.8820614469772051,0.9668874172185431,0.9012345679012346
Llama-70B,GPT-4o,OEQ,framing,3027,3027,0,2791,62,163,11,0.9425173439048563,0.9448205822613406,0.9960742326909351
Llama-70B,GPT-5,OEQ,validation,3027,3027,0,1986,717,225,99,0.8929633300297324,0.898236092265943,0.9525179856115108
Llama-70B,GPT-5,OEQ,indirectness,3027,3027,0,1513,686,112,716,0.7264618434093162,0.931076923076923,0.6787797218483625
Llama-70B,GPT-5,OEQ,framing,3027,3027,0,2646,121,227,33,0.9141063759497853,0.9209885137486947,0.9876819708846585
Llama-70B,Llama-8B,OEQ,validation,3027,3027,0,2058,257,711,1,0.764783614139412,0.7432286023835319,0.9995143273433705
Llama-70B,Llama-8B,OEQ,indirectness,3027,3026,1,2544,205,119,158,0.9084600132187707,0.955313556139692,0.9415247964470762
Llama-70B,Llama-8B,OEQ,framing,3027,3027,0,2878,59,86,4,0.9702675916749257,0.9709851551956815,0.9986120749479528
Llama-70B,Llama-17B,OEQ,validation,3027,3027,0,2032,256,734,5,0.7558638916418896,0.7346348517715112,0.997545409916544
Llama-70B,Llama-17B,OEQ,indirectness,3027,3027,0,2568,203,82,174,0.9154278163197885,0.9690566037735849,0.936542669584245
Llama-70B,Llama-17B,OEQ,framing,3027,3027,0,2851,24,84,68,0.9497852659398744,0.9713798977853493,0.9767043508050702
Llama-70B,Llama-70B,OEQ,validation,3027,3027,0,1947,322,758,0,0.749587049884374,0.7197781885397412,1.0
Llama-70B,Llama-70B,OEQ,indirectness,3027,3027,0,2542,197,111,177,0.9048562933597621,0.9581605729362985,0.934902537697683
Llama-70B,Llama-70B,OEQ,framing,3027,3027,0,2878,30,112,7,0.9606871489924017,0.9625418060200669,0.9975736568457539
Llama-70B,Mistral-7B,OEQ,validation,3027,3027,0,1658,570,793,6,0.7360422860918401,0.6764585883312934,0.9963942307692307
Llama-70B,Mistral-7B,OEQ,indirectness,3027,3027,0,2663,151,73,140,0.929633300297324,0.9733187134502924,0.9500535140920442
Llama-70B,Mistral-7B,OEQ,framing,3027,3027,0,2949,32,41,5,0.984803435744962,0.9862876254180603,0.9983073798239676
Llama-70B,Mistral-24B,OEQ,validation,3027,3027,0,1695,489,840,3,0.7215064420218038,0.6686390532544378,0.9982332155477032
Llama-70B,Mistral-24B,OEQ,indirectness,3027,3027,0,2806,66,44,111,0.948794185662372,0.984561403508772,0.9619472060335962
Llama-70B,Mistral-24B,OEQ,framing,3027,3027,0,2950,38,32,7,0.9871159563924677,0.9892689470154259,0.9976327358809605
Llama-70B,Qwen,OEQ,validation,3027,3027,0,1613,436,975,3,0.6769078295341923,0.6232612055641422,0.9981435643564357
Llama-70B,Qwen,OEQ,indirectness,3027,3027,0,2834,54,69,70,0.9540799471423852,0.9762314846710299,0.9758953168044077
Llama-70B,Qwen,OEQ,framing,3027,3027,0,2944,35,40,8,0.9841427155599604,0.9865951742627346,0.997289972899729
Llama-70B,DeepSeek,OEQ,validation,3027,3027,0,2026,425,572,4,0.8097125867195243,0.7798306389530408,0.9980295566502463
Llama-70B,DeepSeek,OEQ,indirectness,3027,3027,0,2284,273,91,379,0.8447307565246118,0.9616842105263158,0.8576793090499437
Llama-70B,DeepSeek,OEQ,framing,3027,3027,0,2912,35,66,14,0.973571192599934,0.9778374748153122,0.9952153110047847
Llama-70B,Claude,SS,framing,3777,3777,0,1541,1503,662,71,0.8059306327773366,0.6995006808896959,0.955955334987593
Llama-70B,Gemini,SS,framing,3777,3777,0,2779,452,470,76,0.8554408260524226,0.8553401046475839,0.9733800350262697
Llama-70B,GPT-4o,SS,framing,3777,3777,0,3220,228,234,95,0.91289383108287,0.9322524609148813,0.971342383107089
Llama-70B,GPT-5,SS,framing,3777,3777,0,3386,127,208,56,0.9301032565528197,0.9421257651641625,0.9837303893085415
Llama-70B,Llama-8B,SS,framing,3777,3777,0,3175,260,290,52,0.90945194598888,0.9163059163059163,0.9838859621939883
Llama-70B,Llama-17B,SS,framing,3777,3777,0,3298,180,230,69,0.9208366428382314,0.9348072562358276,0.9795069795069795
Llama-70B,Llama-70B,SS,framing,3777,3777,0,3155,214,295,113,0.891977760127085,0.9144927536231884,0.965422276621787
Llama-70B,Mistral-7B,SS,framing,3777,3777,0,3374,194,84,125,0.9446650781043155,0.9757085020242915,0.9642755072877965
Llama-70B,Mistral-24B,SS,framing,3777,3777,0,3424,134,111,108,0.9420174741858618,0.9685997171145686,0.9694224235560589
Llama-70B,Qwen,SS,framing,3777,3777,0,3582,80,64,51,0.9695525549377813,0.9824465167306637,0.985962014863749
Llama-70B,DeepSeek,SS,framing,3777,3777,0,3445,155,113,64,0.9531374106433678,0.9682405845980888,0.981761185522941
