model,metric,mean,ci,col,model,Againist Human
Human,validation,0.223619,0.014856,validation_Human,Human,"Human | validation Δ=0.00% ± 2.10% [-2.10%, 2.10%]"
Human,indirectness,0.199207,0.014231,indirectness_Human,Human,"Human | indirectness Δ=0.00% ± 2.01% [-2.01%, 2.01%]"
Human,framing,0.600199,0.017477,framing_Human,Human,"Human | framing Δ=0.00% ± 2.47% [-2.47%, 2.47%]"
Claude,validation,0.760424,0.015221,validation_Claude,Claude,"Claude | validation Δ=53.68% ± 2.13% [51.55%, 55.81%]"
Claude,indirectness,0.800397,0.014244,indirectness_Claude,Claude,"Claude | indirectness Δ=60.12% ± 2.01% [58.11%, 62.13%]"
Claude,framing,0.866845,0.012182,framing_Claude,Claude,"Claude | framing Δ=26.66% ± 2.13% [24.53%, 28.79%]"
Gemini,validation,0.742042,0.015617,validation_Gemini,Gemini,"Gemini | validation Δ=51.84% ± 2.16% [49.69%, 54.00%]"
Gemini,indirectness,0.545738,0.018169,indirectness_Gemini,Gemini,"Gemini | indirectness Δ=34.65% ± 2.31% [32.35%, 36.96%]"
Gemini,framing,0.758192,0.01629,framing_Gemini,Gemini,"Gemini | framing Δ=15.80% ± 2.39% [13.41%, 18.19%]"
GPT-4o,validation,0.784768,0.01466,validation_GPT-4o,GPT-4o,"GPT-4o | validation Δ=56.11% ± 2.09% [54.03%, 58.20%]"
GPT-4o,indirectness,0.9809,0.004955,indirectness_GPT-4o,GPT-4o,"GPT-4o | indirectness Δ=78.17% ± 1.51% [76.66%, 79.68%]"
GPT-4o,framing,0.935977,0.009153,framing_GPT-4o,GPT-4o,"GPT-4o | framing Δ=33.58% ± 1.97% [31.60%, 35.55%]"
GPT-5,validation,0.657275,0.016939,validation_GPT-5,GPT-5,"GPT-5 | validation Δ=43.37% ± 2.25% [41.11%, 45.62%]"
GPT-5,indirectness,0.522531,0.017824,indirectness_GPT-5,GPT-5,"GPT-5 | indirectness Δ=32.33% ± 2.28% [30.05%, 34.61%]"
GPT-5,framing,0.822,0.01369,framing_GPT-5,GPT-5,"GPT-5 | framing Δ=22.18% ± 2.22% [19.96%, 24.40%]"
Llama-8B,validation,0.808589,0.014071,validation_Llama-8B,Llama-8B,"Llama-8B | validation Δ=58.50% ± 2.05% [56.45%, 60.54%]"
Llama-8B,indirectness,0.928818,0.00937,indirectness_Llama-8B,Llama-8B,"Llama-8B | indirectness Δ=72.96% ± 1.70% [71.26%, 74.66%]"
Llama-8B,framing,0.900998,0.011942,framing_Llama-8B,Llama-8B,"Llama-8B | framing Δ=30.08% ± 2.12% [27.96%, 32.20%]"
Llama-17B,validation,0.798678,0.014292,validation_Llama-17B,Llama-17B,"Llama-17B | validation Δ=57.51% ± 2.06% [55.44%, 59.57%]"
Llama-17B,indirectness,0.895854,0.010905,indirectness_Llama-17B,Llama-17B,"Llama-17B | indirectness Δ=69.66% ± 1.79% [67.87%, 71.46%]"
Llama-17B,framing,0.93887,0.00856,framing_Llama-17B,Llama-17B,"Llama-17B | framing Δ=33.87% ± 1.95% [31.92%, 35.81%]"
Llama-70B,validation,0.775483,0.014929,validation_Llama-70B,Llama-70B,"Llama-70B | validation Δ=55.19% ± 2.11% [53.08%, 57.29%]"
Llama-70B,indirectness,0.931478,0.009237,indirectness_Llama-70B,Llama-70B,"Llama-70B | indirectness Δ=73.23% ± 1.70% [71.53%, 74.92%]"
Llama-70B,framing,0.895777,0.012696,framing_Llama-70B,Llama-70B,"Llama-70B | framing Δ=29.56% ± 2.16% [27.40%, 31.72%]"
Mistral-7B,validation,0.706799,0.016252,validation_Mistral-7B,Mistral-7B,"Mistral-7B | validation Δ=48.32% ± 2.20% [46.12%, 50.52%]"
Mistral-7B,indirectness,0.946151,0.008221,indirectness_Mistral-7B,Mistral-7B,"Mistral-7B | indirectness Δ=74.69% ± 1.64% [73.05%, 76.34%]"
Mistral-7B,framing,0.932773,0.009594,framing_Mistral-7B,Mistral-7B,"Mistral-7B | framing Δ=33.26% ± 1.99% [31.26%, 35.25%]"
Mistral-24B,validation,0.688801,0.016496,validation_Mistral-24B,Mistral-24B,"Mistral-24B | validation Δ=46.52% ± 2.22% [44.30%, 48.74%]"
Mistral-24B,indirectness,0.956464,0.007292,indirectness_Mistral-24B,Mistral-24B,"Mistral-24B | indirectness Δ=75.73% ± 1.60% [74.13%, 77.32%]"
Mistral-24B,framing,0.955482,0.007755,framing_Mistral-24B,Mistral-24B,"Mistral-24B | framing Δ=35.53% ± 1.91% [33.62%, 37.44%]"
Qwen,validation,0.507682,0.018313,validation_Qwen,Qwen,"Qwen | validation Δ=28.41% ± 2.36% [26.05%, 30.76%]"
Qwen,indirectness,0.922087,0.009799,indirectness_Qwen,Qwen,"Qwen | indirectness Δ=72.29% ± 1.73% [70.56%, 74.02%]"
Qwen,framing,0.899208,0.011197,framing_Qwen,Qwen,"Qwen | framing Δ=29.90% ± 2.08% [27.83%, 31.98%]"
DeepSeek,validation,0.726018,0.01604,validation_DeepSeek,DeepSeek,"DeepSeek | validation Δ=50.24% ± 2.19% [48.05%, 52.43%]"
DeepSeek,indirectness,0.64692,0.017189,indirectness_DeepSeek,DeepSeek,"DeepSeek | indirectness Δ=44.77% ± 2.23% [42.54%, 47.00%]"
DeepSeek,framing,0.799313,0.014555,framing_DeepSeek,DeepSeek,"DeepSeek | framing Δ=19.91% ± 2.27% [17.64%, 22.19%]"
